Time, 12 (4), , , , , , , 19 (11), , , , , , , 27 (20), , , , , , , 39 (33), , , , , , , 40 (35), , , , , , , 50 (46), , , , , , , 54 (50), , , , , , , 59 (55), , , , , , , 6 (56), , , , , , , 
Time, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, 
2019 Aug 19 (Mon) 10:30, 230.525, 0, 0, 100, 0, 0, 0, 230.106, 0, 0, 100, 0, 0, 0, 230.735, 0, 0, 100, 0, 0, 0, 229.582, 0, 0, 100, 0, 0, 0, 229.581, 0, 0, 98.7874, 0, 0, 0, 231.051, 0, 0, 98.1965, 0, 0, 0, 231.051, 0, 0, 100, 0, 0, 0, 230.84, 0, 0, 100, 0, 0, 0, 230.419, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 11:00, 229.082, 0, 0, 100, 0, 0, 0, 228.634, 0, 0, 100, 0, 0, 0, 229.306, 0, 0, 100, 0, 0, 0, 228.074, 0, 0, 100, 0, 0, 0, 228.074, 0, 0, 98.7874, 0, 0, 0, 229.643, 0, 0, 98.1965, 0, 0, 0, 229.643, 0, 0, 100, 0, 0, 0, 229.418, 0, 0, 100, 0, 0, 0, 228.968, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 11:30, 228.885, 0, 0, 100, 0, 0, 0, 228.424, 0, 0, 100, 0, 0, 0, 229.114, 0, 0, 100, 0, 0, 0, 227.849, 0, 0, 100, 0, 0, 0, 227.849, 0, 0, 98.7874, 0, 0, 0, 229.461, 0, 0, 98.1965, 0, 0, 0, 229.461, 0, 0, 100, 0, 0, 0, 229.23, 0, 0, 100, 0, 0, 0, 228.768, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 12:00, 228.592, 0, 0, 100, 0, 0, 0, 228.123, 0, 0, 100, 0, 0, 0, 228.826, 0, 0, 100, 0, 0, 0, 227.536, 0, 0, 100, 0, 0, 0, 227.536, 0, 0, 98.7874, 0, 0, 0, 229.18, 0, 0, 98.1965, 0, 0, 0, 229.18, 0, 0, 100, 0, 0, 0, 228.944, 0, 0, 100, 0, 0, 0, 228.473, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 12:30, 227.173, 0, 0, 100, 0, 0, 0, 226.677, 0, 0, 100, 0, 0, 0, 227.42, 0, 0, 100, 0, 0, 0, 226.058, 0, 0, 100, 0, 0, 0, 226.058, 0, 0, 98.7874, 0, 0, 0, 227.794, 0, 0, 98.1965, 0, 0, 0, 227.794, 0, 0, 100, 0, 0, 0, 227.544, 0, 0, 100, 0, 0, 0, 227.047, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 13:00, 229.9, 0, 0, 100, 0, 0, 0, 229.447, 0, 0, 100, 0, 0, 0, 230.126, 0, 0, 100, 0, 0, 0, 228.881, 0, 0, 100, 0, 0, 0, 228.881, 0, 0, 98.7874, 0, 0, 0, 230.468, 0, 0, 98.1965, 0, 0, 0, 230.468, 0, 0, 100, 0, 0, 0, 230.24, 0, 0, 100, 0, 0, 0, 229.785, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 13:30, 229.563, 0, 0, 100, 0, 0, 0, 229.117, 0, 0, 100, 0, 0, 0, 229.785, 0, 0, 100, 0, 0, 0, 228.561, 0, 0, 100, 0, 0, 0, 228.56, 0, 0, 98.7874, 0, 0, 0, 230.12, 0, 0, 98.1965, 0, 0, 0, 230.121, 0, 0, 100, 0, 0, 0, 229.897, 0, 0, 100, 0, 0, 0, 229.45, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 14:00, 226.854, 0, 0, 100, 0, 0, 0, 226.362, 0, 0, 100, 0, 0, 0, 227.099, 0, 0, 100, 0, 0, 0, 225.748, 0, 0, 100, 0, 0, 0, 225.747, 0, 0, 98.7874, 0, 0, 0, 227.47, 0, 0, 98.1965, 0, 0, 0, 227.47, 0, 0, 100, 0, 0, 0, 227.223, 0, 0, 100, 0, 0, 0, 226.729, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 14:30, 225.822, 0, 0, 100, 0, 0, 0, 225.318, 0, 0, 100, 0, 0, 0, 226.073, 0, 0, 100, 0, 0, 0, 224.688, 0, 0, 100, 0, 0, 0, 224.688, 0, 0, 98.7874, 0, 0, 0, 226.453, 0, 0, 98.1965, 0, 0, 0, 226.453, 0, 0, 100, 0, 0, 0, 226.2, 0, 0, 100, 0, 0, 0, 225.694, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 15:00, 229.509, 0, 0, 100, 0, 0, 0, 229.048, 0, 0, 100, 0, 0, 0, 229.738, 0, 0, 100, 0, 0, 0, 228.474, 0, 0, 100, 0, 0, 0, 228.474, 0, 0, 98.7874, 0, 0, 0, 230.085, 0, 0, 98.1965, 0, 0, 0, 230.085, 0, 0, 100, 0, 0, 0, 229.853, 0, 0, 100, 0, 0, 0, 229.392, 0, 0, 100, 0, 0, 0, 
