Time, I_PhaseA_RMS, I_PhaseA_Mag, I_PhaseA_Pha, I_PhaseB_RMS, I_PhaseB_Mag, I_PhaseB_Pha, I_PhaseC_RMS, I_PhaseC_Mag, I_PhaseC_Pha, I_Neutral_RMS, I_Neutral_Mag, I_Neutral_Pha
2019 Aug 19 (Mon) 16:00, 115.18, 162.888, -17.6168, 115.19, 162.88, -137.614, 115.196, 162.892, 102.387, 2.42632e-05, 3.43133e-05, 170.923, 
2019 Aug 19 (Mon) 16:30, 127.198, 179.885, -23.6265, 127.201, 179.873, -143.623, 127.211, 179.888, 96.3786, 2.35427e-05, 3.32943e-05, 170.707, 
2019 Aug 19 (Mon) 17:00, 138.574, 195.974, -22.2668, 138.577, 195.961, -142.264, 138.586, 195.977, 97.7379, 2.33553e-05, 3.30294e-05, 169.614, 
2019 Aug 19 (Mon) 17:30, 157.72, 223.05, -27.2596, 157.716, 223.036, -147.257, 157.727, 223.052, 92.7448, 2.24578e-05, 3.17601e-05, 168.953, 
2019 Aug 19 (Mon) 18:00, 173.708, 245.66, -28.6113, 173.702, 245.647, -148.609, 173.712, 245.661, 91.3924, 2.1914e-05, 3.0991e-05, 168.009, 
2019 Aug 19 (Mon) 18:30, 359.714, 508.713, -24.5546, 425.465, 601.696, -145.552, 425.894, 602.303, 94.2318, 65.0527, 91.9985, 147.885, 
2019 Aug 19 (Mon) 19:00, 360.485, 509.803, -25.4318, 425.436, 601.655, -146.244, 425.867, 602.266, 93.5436, 64.138, 90.7049, 148.146, 
2019 Aug 19 (Mon) 19:30, 359.541, 508.468, -22.4058, 425.337, 601.514, -143.844, 425.746, 602.092, 95.9377, 65.503, 92.6353, 147.209, 
2019 Aug 19 (Mon) 20:00, 358.208, 506.582, -20.9552, 426.221, 602.762, -142.739, 426.63, 603.341, 97.0337, 68.0526, 96.241, 146.805, 
2019 Aug 19 (Mon) 20:30, 360.519, 509.85, -26.0832, 425.74, 602.086, -146.766, 426.18, 602.708, 93.021, 64.3244, 90.9684, 148.359, 
2019 Aug 19 (Mon) 21:00, 358.417, 506.877, -23.5268, 425.84, 602.227, -144.758, 426.271, 602.836, 95.0199, 66.8811, 94.5841, 147.597, 
2019 Aug 19 (Mon) 21:30, 357.157, 505.096, -23.3902, 426.38, 602.99, -144.675, 426.823, 603.616, 95.0966, 68.6831, 97.1326, 147.593, 
2019 Aug 19 (Mon) 22:00, 354.421, 501.228, -22.5642, 427.554, 604.649, -144.089, 428.017, 605.305, 95.6689, 72.7189, 102.84, 147.422, 
2019 Aug 19 (Mon) 22:30, 352.579, 498.622, -22.2534, 428.368, 605.8, -143.893, 428.847, 606.478, 95.8567, 75.4166, 106.655, 147.385, 
2019 Aug 19 (Mon) 23:00, 349.916, 494.856, -21.5983, 429.591, 607.529, -143.46, 430.092, 608.238, 96.2758, 79.4266, 112.326, 147.273, 
2019 Aug 19 (Mon) 23:30, 347.499, 491.438, -21.782, 430.581, 608.929, -143.657, 431.11, 609.678, 96.0688, 82.7424, 117.015, 147.406, 
2019 Aug 20 (Tue) 0:00, 344.538, 487.25, -19.4658, 432.53, 611.684, -142.041, 433.068, 612.445, 97.6648, 88.3415, 124.934, 146.828, 
