Time, 13 (5), , , , , , , 33 (27), , , , , , , 4 (34), , , , , , , 56 (52), , , , , , , 58 (54), , , , , , , 5 (45), , , , , , , 60 (57), , , , , , , 63 (60), , , , , , , 66 (63), , , , , , , 
Time, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, 
2019 Aug 19 (Mon) 13:30, 229.563, 231.134, 0.906109, 100, 0, 0.453055, 0, 229.45, 231.047, 0.903325, 100, 0, 0.451662, 0, 229.785, 231.305, 0.91144, 100, 0, 0.45572, 0, 229.897, 231.391, 0.914072, 100, 0, 0.457036, 0, 229.897, 231.39, 0.914073, 100, 0, 0.457037, 0, 229.561, 231.133, 0.906064, 100, 0, 0.453032, 0, 229.897, 231.391, 0.914072, 100, 0, 0.457036, 0, 229.785, 231.305, 0.91143, 100, 0, 0.455715, 0, 229.785, 231.305, 0.91143, 100, 0, 0.455715, 0, 
2019 Aug 19 (Mon) 14:00, 226.854, 231.134, 0.880398, 100, 0, 0.440199, 0, 226.729, 231.047, 0.877584, 100, 0, 0.438792, 0, 227.1, 231.305, 0.885775, 100, 0, 0.442887, 0, 227.223, 231.391, 0.88843, 100, 0, 0.444215, 0, 227.223, 231.39, 0.888429, 100, 0, 0.444215, 0, 226.852, 231.133, 0.880349, 100, 0, 0.440175, 0, 227.223, 231.391, 0.888431, 100, 0, 0.444215, 0, 227.099, 231.305, 0.885765, 100, 0, 0.442883, 0, 227.099, 231.305, 0.885765, 100, 0, 0.442883, 0, 
2019 Aug 19 (Mon) 14:30, 225.822, 231.134, 0.674178, 100, 0, 0.337089, 0, 225.693, 231.047, 0.669047, 100, 0, 0.334524, 0, 226.073, 231.305, 0.683934, 100, 0, 0.341967, 0, 226.2, 231.391, 0.688756, 100, 0, 0.344378, 0, 226.2, 231.39, 0.688751, 100, 0, 0.344375, 0, 225.82, 231.133, 0.674078, 100, 0, 0.337039, 0, 226.2, 231.391, 0.688761, 100, 0, 0.344381, 0, 226.073, 231.305, 0.68392, 100, 0, 0.34196, 0, 226.073, 231.305, 0.68392, 100, 0, 0.34196, 0, 
2019 Aug 19 (Mon) 15:00, 229.509, 231.134, 0.595586, 100, 0, 0.297793, 0, 229.392, 231.047, 0.589684, 100, 0, 0.294842, 0, 229.738, 231.305, 0.606804, 100, 0, 0.303402, 0, 229.853, 231.391, 0.612348, 100, 0, 0.306174, 0, 229.853, 231.39, 0.612342, 100, 0, 0.306171, 0, 229.507, 231.133, 0.595469, 100, 0, 0.297735, 0, 229.854, 231.391, 0.612355, 100, 0, 0.306178, 0, 229.738, 231.305, 0.606787, 100, 0, 0.303394, 0, 229.738, 231.305, 0.606787, 100, 0, 0.303394, 0, 
2019 Aug 19 (Mon) 15:30, 227.202, 231.134, 0.876286, 100, 0, 0.438143, 0, 227.07, 231.047, 0.873162, 100, 0, 0.436581, 0, 227.459, 231.305, 0.882258, 100, 0, 0.441129, 0, 227.589, 231.391, 0.885207, 100, 0, 0.442604, 0, 227.589, 231.39, 0.885207, 100, 0, 0.442604, 0, 227.2, 231.133, 0.876232, 100, 0, 0.438116, 0, 227.589, 231.391, 0.885208, 100, 0, 0.442604, 0, 227.459, 231.305, 0.882248, 100, 0, 0.441124, 0, 227.459, 231.305, 0.882248, 100, 0, 0.441124, 0, 
2019 Aug 19 (Mon) 16:00, 228.075, 231.134, 0.700634, 100, 0, 0.350317, 0, 227.942, 231.047, 0.695191, 100, 0, 0.347596, 0, 228.335, 231.305, 0.710989, 100, 0, 0.355495, 0, 228.466, 231.391, 0.716108, 100, 0, 0.358054, 0, 228.465, 231.39, 0.716104, 100, 0, 0.358052, 0, 228.073, 231.133, 0.700528, 100, 0, 0.350264, 0, 228.466, 231.391, 0.716112, 100, 0, 0.358056, 0, 228.335, 231.305, 0.710973, 100, 0, 0.355486, 0, 228.335, 231.305, 0.710973, 100, 0, 0.355486, 0, 
2019 Aug 19 (Mon) 16:30, 224.907, 231.134, 0.767116, 100, 0, 0.383558, 0, 224.755, 231.047, 0.762046, 100, 0, 0.381023, 0, 225.203, 231.305, 0.776783, 100, 0, 0.388391, 0, 225.352, 231.391, 0.781559, 100, 0, 0.39078, 0, 225.352, 231.39, 0.781558, 100, 0, 0.390779, 0, 224.904, 231.133, 0.767022, 100, 0, 0.383511, 0, 225.352, 231.391, 0.781562, 100, 0, 0.390781, 0, 225.203, 231.305, 0.776766, 100, 0, 0.388383, 0, 225.203, 231.305, 0.776766, 100, 0, 0.388383, 0, 
2019 Aug 19 (Mon) 17:00, 224.161, 231.134, 0.525917, 100, 0, 0.262959, 0, 223.996, 231.047, 0.517763, 100, 0, 0.258881, 0, 224.48, 231.305, 0.541391, 100, 0, 0.270695, 0, 224.641, 231.391, 0.549044, 100, 0, 0.274522, 0, 224.64, 231.39, 0.549038, 100, 0, 0.274519, 0, 224.158, 231.133, 0.525744, 100, 0, 0.262872, 0, 224.641, 231.391, 0.549051, 100, 0, 0.274526, 0, 224.479, 231.305, 0.541363, 100, 0, 0.270682, 0, 224.479, 231.305, 0.541363, 100, 0, 0.270682, 0, 
2019 Aug 19 (Mon) 17:30, 220.149, 231.134, 0.469082, 100, 0, 0.234541, 0, 219.957, 231.047, 0.459612, 100, 0, 0.229806, 0, 220.518, 231.305, 0.487034, 100, 0, 0.243517, 0, 220.705, 231.391, 0.495916, 100, 0, 0.247958, 0, 220.705, 231.39, 0.49591, 100, 0, 0.247955, 0, 220.144, 231.133, 0.468875, 100, 0, 0.234437, 0, 220.705, 231.391, 0.495923, 100, 0, 0.247962, 0, 220.518, 231.305, 0.487, 100, 0, 0.2435, 0, 220.518, 231.305, 0.487, 100, 0, 0.2435, 0, 
2019 Aug 19 (Mon) 18:00, 217.716, 231.134, 0.163607, 100, 0, 0.0818037, 0, 217.504, 231.047, 0.150004, 100, 0, 0.0750019, 0, 218.124, 231.305, 0.189294, 100, 0, 0.094647, 0, 218.33, 231.391, 0.202016, 100, 0, 0.101008, 0, 218.33, 231.39, 0.202007, 100, 0, 0.101003, 0, 217.711, 231.133, 0.163275, 100, 0, 0.0816376, 0, 218.33, 231.391, 0.202026, 100, 0, 0.101013, 0, 218.123, 231.305, 0.189239, 100, 0, 0.0946197, 0, 218.123, 231.305, 0.189239, 100, 0, 0.0946197, 0, 
