Time, I_PhaseA_RMS, I_PhaseA_Mag, I_PhaseA_Pha, I_PhaseB_RMS, I_PhaseB_Mag, I_PhaseB_Pha, I_PhaseC_RMS, I_PhaseC_Mag, I_PhaseC_Pha, I_Neutral_RMS, I_Neutral_Mag, I_Neutral_Pha
2019 Aug 19 (Mon) 12:30, 105.304, 148.922, -24.2047, 105.312, 148.91, -144.201, 105.32, 148.925, 95.8012, 2.02565e-05, 2.8647e-05, -127.371, 
2019 Aug 19 (Mon) 13:00, 100.794, 142.544, -15.9526, 100.808, 142.538, -135.95, 100.812, 142.547, 104.051, 2.07529e-05, 2.93491e-05, -127.822, 
2019 Aug 19 (Mon) 13:30, 97.4412, 137.803, -18.3448, 97.4551, 137.795, -138.342, 97.4602, 137.805, 101.66, 2.06942e-05, 2.92661e-05, -127.35, 
2019 Aug 19 (Mon) 14:00, 103.728, 146.693, -26.1275, 103.735, 146.681, -146.124, 103.743, 146.695, 93.8787, 2.02008e-05, 2.85682e-05, -127.043, 
2019 Aug 19 (Mon) 14:30, 105.224, 148.809, -29.5246, 105.227, 148.795, -149.521, 105.236, 148.81, 90.4819, 2.00155e-05, 2.83062e-05, -126.746, 
2019 Aug 19 (Mon) 15:00, 101.553, 143.618, -17.0975, 101.567, 143.611, -137.094, 101.571, 143.621, 102.907, 2.06811e-05, 2.92475e-05, -127.784, 
2019 Aug 19 (Mon) 15:30, 111.324, 157.436, -21.7406, 111.333, 157.425, -141.737, 111.34, 157.439, 98.2646, 2.02567e-05, 2.86473e-05, -128.091, 
2019 Aug 19 (Mon) 16:00, 115.179, 162.888, -17.6168, 115.19, 162.88, -137.614, 115.196, 162.891, 102.387, 2.04105e-05, 2.88647e-05, -128.824, 
2019 Aug 19 (Mon) 16:30, 127.198, 179.885, -23.6265, 127.201, 179.873, -143.623, 127.211, 179.888, 96.3786, 1.9835e-05, 2.80509e-05, -129.072, 
2019 Aug 19 (Mon) 17:00, 138.574, 195.974, -22.2668, 138.577, 195.961, -142.264, 138.586, 195.977, 97.7379, 1.96938e-05, 2.78512e-05, -130.124, 
2019 Aug 19 (Mon) 17:30, 157.72, 223.05, -27.2596, 157.716, 223.036, -147.257, 157.727, 223.052, 92.7448, 1.89786e-05, 2.68398e-05, -130.807, 
2019 Aug 19 (Mon) 18:00, 173.708, 245.66, -28.6113, 173.702, 245.647, -148.609, 173.712, 245.661, 91.3924, 1.85494e-05, 2.62327e-05, -131.74, 
2019 Aug 19 (Mon) 18:30, 184.382, 260.756, -28.5212, 184.376, 260.743, -148.519, 184.386, 260.757, 91.4822, 1.83337e-05, 2.59277e-05, -132.551, 
2019 Aug 19 (Mon) 19:00, 188.251, 266.227, -30.1858, 188.244, 266.214, -150.184, 188.253, 266.227, 89.8174, 1.81257e-05, 2.56337e-05, -132.483, 
2019 Aug 19 (Mon) 19:30, 182.149, 257.597, -23.7043, 182.145, 257.584, -143.702, 182.156, 257.6, 96.2994, 1.87623e-05, 2.65339e-05, -133.315, 
2019 Aug 19 (Mon) 20:00, 173.274, 245.046, -20.825, 201.238, 284.584, -139.867, 173.247, 244.998, 99.1805, 28.1647, 39.8309, -133.923, 
2019 Aug 19 (Mon) 20:30, 213.57, 302.034, -29.5626, 213.715, 302.237, -149.36, 237.52, 335.902, 91.911, 23.8737, 33.7626, 104.63, 
2019 Aug 19 (Mon) 21:00, 204.093, 288.632, -25.0642, 177.5, 251.017, -146.622, 229.311, 324.29, 95.9721, 45.7771, 64.7386, 73.7664, 
2019 Aug 19 (Mon) 21:30, 170.915, 241.71, -26.9927, 170.91, 241.696, -146.99, 170.92, 241.712, 93.0113, 1.87257e-05, 2.64822e-05, -131.841, 
2019 Aug 19 (Mon) 22:00, 156.211, 220.916, -26.3192, 182.972, 258.753, -144.257, 156.282, 221.009, 93.6213, 27.2762, 38.5743, -132.297, 
2019 Aug 19 (Mon) 22:30, 172.713, 244.253, -24.3178, 173.578, 245.468, -144.295, 173.938, 245.977, 95.9244, 1.61855, 2.28897, 158.909, 
2019 Aug 19 (Mon) 23:00, 158.465, 224.103, -23.903, 159.69, 225.825, -143.743, 159.534, 225.606, 96.4071, 1.69508, 2.39721, -176.097, 
2019 Aug 19 (Mon) 23:30, 120.127, 169.886, -29.2993, 147.468, 208.54, -145.4, 120.119, 169.862, 90.7084, 28.8167, 40.7529, -128.924, 
2019 Aug 20 (Tue) 0:00, 99.0412, 140.065, -24.2462, 99.051, 140.054, -144.242, 99.0585, 140.068, 95.7599, 2.03874e-05, 2.88322e-05, -126.908, 
