Time, I_PhaseA_RMS, I_PhaseA_Mag, I_PhaseA_Pha, I_PhaseB_RMS, I_PhaseB_Mag, I_PhaseB_Pha, I_PhaseC_RMS, I_PhaseC_Mag, I_PhaseC_Pha, I_Neutral_RMS, I_Neutral_Mag, I_Neutral_Pha
2019 Aug 19 (Mon) 7:00, 37.9256, 53.6347, -22.4772, 68.5174, 96.8809, -134.042, 27.2278, 38.4821, 97.8865, 40.245, 56.9139, -113.913, 
2019 Aug 19 (Mon) 7:30, 40.9678, 57.9371, -23.2172, 71.3511, 100.888, -134.911, 29.4234, 41.5874, 97.1722, 40.921, 57.87, -113.607, 
2019 Aug 19 (Mon) 8:00, 39.7586, 56.2271, -22.0114, 70.3417, 99.461, -134.07, 28.5471, 40.3485, 98.3718, 40.5844, 57.3939, -113.542, 
2019 Aug 19 (Mon) 8:30, 38.6279, 54.6279, -27.137, 68.55, 96.9255, -136.658, 27.7495, 39.2174, 93.213, 40.7033, 57.5621, -114.724, 
2019 Aug 19 (Mon) 9:00, 38.0217, 53.7706, -26.9079, 38.023, 53.7383, -146.919, 27.3126, 38.5994, 93.4382, 10.7141, 15.148, -87.7037, 
2019 Aug 19 (Mon) 9:30, 35.1728, 49.7417, -21.1747, 35.1774, 49.7167, -141.188, 25.2416, 35.6738, 99.1681, 9.93614, 14.0473, -81.9811, 
2019 Aug 19 (Mon) 10:00, 32.4432, 45.8814, -16.8217, 32.4477, 45.8622, -136.837, 23.2633, 32.881, 103.508, 9.18286, 12.9822, -77.6099, 
2019 Aug 19 (Mon) 10:30, 30.3175, 42.8753, -13.9161, 30.3206, 42.8597, -133.932, 21.7262, 30.7115, 106.4, 8.59214, 12.1474, -74.6781, 
2019 Aug 19 (Mon) 11:00, 31.7495, 44.9004, -18.0169, 31.7556, 44.8814, -138.031, 22.7684, 32.1794, 102.303, 8.98604, 12.7036, -78.7761, 
2019 Aug 19 (Mon) 11:30, 32.7211, 46.2745, -17.541, 32.726, 46.2545, -137.556, 23.4656, 33.166, 102.79, 9.25917, 13.09, -78.3288, 
2019 Aug 19 (Mon) 12:00, 33.3424, 47.1532, -17.9053, 33.347, 47.1323, -137.92, 23.9136, 33.7992, 102.43, 9.43232, 13.3349, -78.7046, 
2019 Aug 19 (Mon) 12:30, 34.7236, 49.1065, -21.7073, 34.7289, 49.0818, -141.72, 24.92, 35.2183, 98.6292, 9.80949, 13.8681, -82.4969, 
2019 Aug 19 (Mon) 13:00, 32.9704, 46.6271, -13.3144, 32.9711, 46.609, -133.332, 23.6303, 33.405, 107.031, 9.33829, 13.2028, -74.1498, 
2019 Aug 19 (Mon) 13:30, 31.9051, 45.1205, -15.8616, 31.9092, 45.1023, -135.877, 22.8734, 32.3309, 104.465, 9.03403, 12.7719, -76.6459, 
2019 Aug 19 (Mon) 14:00, 34.2362, 48.4171, -23.7373, 34.2427, 48.392, -143.749, 24.5752, 34.7288, 96.5871, 9.66875, 13.6689, -84.4913, 
2019 Aug 19 (Mon) 14:30, 34.8364, 49.2659, -27.2289, 34.8425, 49.2381, -147.239, 25.0174, 35.352, 93.0872, 9.82796, 13.8943, -87.9517, 
2019 Aug 19 (Mon) 15:00, 33.257, 47.0324, -14.4706, 33.2586, 47.0134, -134.487, 23.8404, 33.7003, 105.874, 9.41611, 13.3126, -75.3023, 
2019 Aug 19 (Mon) 15:30, 36.706, 51.9099, -19.0058, 36.7079, 51.8842, -139.022, 26.3379, 37.2265, 101.36, 10.3697, 14.6607, -79.8746, 
2019 Aug 19 (Mon) 16:00, 37.88, 53.5703, -14.6425, 37.8779, 53.5457, -134.662, 27.1656, 38.4024, 105.75, 10.7103, 15.143, -75.5901, 
2019 Aug 19 (Mon) 16:30, 42.2281, 59.7194, -20.5629, 42.2237, 59.6846, -140.58, 30.3224, 42.8608, 99.8508, 11.9027, 16.8292, -81.5444, 
2019 Aug 19 (Mon) 17:00, 46.1097, 65.2088, -18.8556, 46.0999, 65.169, -138.876, 33.1134, 46.8099, 101.604, 12.9876, 18.3638, -79.9552, 
2019 Aug 19 (Mon) 17:30, 53.1194, 75.122, -23.6178, 53.0967, 75.0651, -143.638, 38.2022, 54.0064, 96.8842, 14.9012, 21.0709, -84.8061, 
2019 Aug 19 (Mon) 18:00, 58.9417, 83.356, -24.6619, 58.9072, 83.2856, -144.684, 42.4235, 59.9783, 95.8874, 16.4937, 23.3236, -85.9641, 
2019 Aug 19 (Mon) 18:30, 62.8035, 88.8175, -24.307, 92.2814, 130.492, -138.15, 45.2175, 63.9308, 96.2803, 45.5506, 64.4176, -111.159, 
2019 Aug 19 (Mon) 19:00, 64.3606, 91.0195, -25.9939, 93.5008, 132.218, -139.415, 46.3603, 65.548, 94.5949, 46.0321, 65.0987, -111.492, 
2019 Aug 19 (Mon) 19:30, 61.5756, 87.0809, -19.2408, 91.8394, 129.866, -134.725, 44.287, 62.6146, 101.369, 44.792, 63.3446, -109.855, 
2019 Aug 19 (Mon) 20:00, 58.1674, 82.2609, -16.4311, 88.8637, 125.659, -132.663, 41.7998, 59.0978, 104.16, 43.7958, 61.9356, -109.538, 
2019 Aug 19 (Mon) 20:30, 64.4922, 91.2057, -27.6214, 93.3325, 131.98, -140.513, 46.4686, 65.7019, 92.9554, 46.2018, 65.3388, -111.96, 
2019 Aug 19 (Mon) 21:00, 60.1213, 85.0242, -22.5637, 89.9578, 127.205, -136.763, 43.2606, 61.1623, 98.0106, 44.8261, 63.3929, -110.963, 
2019 Aug 19 (Mon) 21:30, 57.8165, 81.7648, -23.0116, 87.6568, 123.951, -136.833, 41.5951, 58.8062, 97.5379, 44.3887, 62.7743, -111.356, 
2019 Aug 19 (Mon) 22:00, 52.5222, 74.2774, -22.7042, 82.5774, 116.766, -136.091, 37.7632, 53.3855, 97.7971, 43.2623, 61.1813, -111.925, 
2019 Aug 19 (Mon) 22:30, 49.0826, 69.4131, -23.2333, 79.1757, 111.955, -136.016, 35.2804, 49.8729, 97.2325, 42.5956, 60.2384, -112.497, 
2019 Aug 19 (Mon) 23:00, 43.9535, 62.1595, -23.565, 74.1798, 104.889, -135.54, 31.5785, 44.636, 96.8508, 41.562, 58.7766, -113.26, 
2019 Aug 19 (Mon) 23:30, 39.9848, 56.5469, -26.6504, 69.9206, 98.8641, -136.64, 28.7267, 40.6002, 93.7141, 40.9562, 57.9199, -114.447, 
2019 Aug 20 (Tue) 0:00, 32.5914, 46.091, -21.9039, 63.4552, 89.7224, -132.848, 23.3851, 33.0472, 98.4109, 39.125, 55.33, -114.661, 
