Time, 1 (House 1), House 1 Magnitude, House 1 Phase, 10 (House 2), House 2 Magnitude, House 2 Phase, 12 (House 3), House 3 Magnitude, House 3 Phase, 16 (House 4), House 4 Magnitude, House 4 Phase, 2 (House 5), House 5 Magnitude, House 5 Phase, 21 (House 6), House 6 Magnitude, House 6 Phase, 23 (House 7), House 7 Magnitude, House 7 Phase, 24 (House 8), House 8 Magnitude, House 8 Phase, 33 (House 9), House 9 Magnitude, House 9 Phase, 39 (House 10), House 10 Magnitude, House 10 Phase, 45 (House 11), House 11 Magnitude, House 11 Phase, 5 (House 12), House 12 Magnitude, House 12 Phase, 50 (House 13), House 13 Magnitude, House 13 Phase, 51 (House 14), House 14 Magnitude, House 14 Phase, 56 (House 15), House 15 Magnitude, House 15 Phase, 57 (House 16), House 16 Magnitude, House 16 Phase, 62 (House 17), House 17 Magnitude, House 17 Phase, 63 (House 18), House 18 Magnitude, House 18 Phase, 7 (House 19), House 19 Magnitude, House 19 Phase, 
2019 Aug 19 (Mon) 10:00, 235.909, 333.626, -1.19287, 235.875, 333.577, -121.168, 236.72, 334.773, 119.169, 236.602, 334.606, 119.159, 235.793, 333.461, -1.20219, 235.747, 333.396, -1.1924, 235.934, 333.661, -121.163, 236.811, 334.902, 119.149, 236.635, 334.653, 119.135, 235.511, 333.062, -121.21, 235.394, 332.897, -121.219, 236.038, 333.808, -1.16915, 236.097, 333.892, -1.16446, 236.097, 333.891, -121.164, 235.89, 333.598, -1.154, 235.954, 333.689, -121.202, 235.786, 333.452, -1.14876, 235.882, 333.588, -121.221, 236.588, 334.586, 119.145, 
2019 Aug 19 (Mon) 10:30, 236.386, 334.3, -1.15399, 236.349, 334.248, -121.131, 237.073, 335.272, 119.193, 236.965, 335.119, 119.183, 236.279, 334.149, -1.16398, 236.234, 334.085, -1.15537, 236.403, 334.324, -121.126, 237.162, 335.398, 119.176, 237.001, 335.169, 119.161, 236.017, 333.778, -121.175, 235.91, 333.627, -121.185, 236.502, 334.464, -1.13044, 236.556, 334.541, -1.1254, 236.555, 334.54, -121.125, 236.36, 334.264, -1.118, 236.429, 334.361, -121.162, 236.262, 334.125, -1.1143, 236.366, 334.272, -121.181, 236.955, 335.105, 119.169, 
2019 Aug 19 (Mon) 11:00, 235.886, 333.593, -1.14888, 235.855, 333.549, -121.124, 236.71, 334.758, 119.201, 236.593, 334.594, 119.192, 235.771, 333.43, -1.15741, 235.727, 333.368, -1.14759, 235.912, 333.631, -121.12, 236.797, 334.882, 119.181, 236.624, 334.637, 119.169, 235.494, 333.039, -121.164, 235.38, 332.877, -121.172, 236.014, 333.774, -1.12633, 236.073, 333.857, -1.12204, 236.072, 333.856, -121.122, 235.87, 333.571, -1.11074, 235.929, 333.654, -121.158, 235.769, 333.428, -1.10508, 235.857, 333.552, -121.177, 236.578, 334.572, 119.178, 
2019 Aug 19 (Mon) 11:30, 235.816, 333.494, -1.192, 235.782, 333.446, -121.167, 236.652, 334.676, 119.17, 236.532, 334.507, 119.161, 235.697, 333.327, -1.20105, 235.652, 333.262, -1.19103, 235.842, 333.531, -121.162, 236.743, 334.805, 119.15, 236.565, 334.553, 119.137, 235.413, 332.924, -121.208, 235.295, 332.757, -121.217, 235.947, 333.679, -1.16847, 236.007, 333.764, -1.16392, 236.006, 333.763, -121.163, 235.798, 333.469, -1.15272, 235.86, 333.557, -121.202, 235.693, 333.321, -1.14712, 235.787, 333.453, -121.221, 236.517, 334.486, 119.146, 
2019 Aug 19 (Mon) 12:00, 235.713, 333.349, -1.20906, 235.68, 333.302, -121.183, 236.574, 334.567, 119.159, 236.452, 334.394, 119.15, 235.593, 333.178, -1.21811, 235.546, 333.113, -1.20782, 235.741, 333.387, -121.179, 236.667, 334.697, 119.138, 236.485, 334.44, 119.125, 235.302, 332.767, -121.225, 235.182, 332.597, -121.234, 235.847, 333.538, -1.18527, 235.909, 333.625, -1.18072, 235.908, 333.625, -121.18, 235.696, 333.325, -1.16899, 235.758, 333.413, -121.219, 235.59, 333.174, -1.16313, 235.683, 333.306, -121.238, 236.437, 334.372, 119.135, 
2019 Aug 19 (Mon) 12:30, 235.216, 332.646, -1.19303, 235.189, 332.608, -121.166, 236.214, 334.058, 119.175, 236.085, 333.874, 119.167, 235.088, 332.465, -1.20042, 235.043, 332.401, -1.18894, 235.253, 332.699, -121.162, 236.304, 334.185, 119.152, 236.111, 333.912, 119.141, 234.785, 332.036, -121.203, 234.657, 331.856, -121.21, 235.362, 332.853, -1.1705, 235.427, 332.945, -1.16678, 235.427, 332.945, -121.166, 235.21, 332.637, -1.151, 235.26, 332.709, -121.204, 235.101, 332.483, -1.1431, 235.177, 332.591, -121.223, 236.064, 333.845, 119.152, 
2019 Aug 19 (Mon) 13:00, 236.167, 333.99, -1.26468, 236.125, 333.931, -121.24, 236.896, 335.022, 119.114, 236.779, 334.856, 119.103, 236.051, 333.826, -1.2759, 236.002, 333.757, -1.26667, 236.183, 334.014, -121.234, 236.994, 335.16, 119.096, 236.819, 334.913, 119.079, 235.766, 333.424, -121.288, 235.651, 333.26, -121.3, 236.291, 334.166, -1.23868, 236.35, 334.25, -1.23303, 236.349, 334.248, -121.233, 236.137, 333.948, -1.22561, 236.214, 334.057, -121.273, 236.03, 333.797, -1.2219, 236.146, 333.961, -121.294, 236.769, 334.842, 119.088, 
2019 Aug 19 (Mon) 13:30, 236.052, 333.828, -1.18715, 236.016, 333.777, -121.163, 236.825, 334.921, 119.172, 236.709, 334.757, 119.162, 235.937, 333.666, -1.19677, 235.892, 333.601, -1.18732, 236.074, 333.858, -121.158, 236.916, 335.049, 119.153, 236.744, 334.806, 119.138, 235.661, 333.274, -121.206, 235.547, 333.113, -121.215, 236.177, 334.004, -1.16333, 236.235, 334.086, -1.15849, 236.234, 334.086, -121.158, 236.03, 333.796, -1.14903, 236.096, 333.89, -121.196, 235.927, 333.652, -1.1443, 236.027, 333.793, -121.215, 236.696, 334.739, 119.147, 
2019 Aug 19 (Mon) 14:00, 235.106, 332.49, -1.13862, 235.083, 332.458, -121.111, 236.142, 333.955, 119.216, 236.013, 333.773, 119.209, 234.979, 332.31, -1.1448, 234.936, 332.25, -1.13309, 235.147, 332.548, -121.108, 236.228, 334.076, 119.192, 236.036, 333.805, 119.183, 234.68, 331.887, -121.144, 234.553, 331.708, -121.15, 235.253, 332.698, -1.11768, 235.318, 332.79, -1.11457, 235.318, 332.79, -121.114, 235.106, 332.49, -1.09711, 235.148, 332.549, -121.15, 235, 332.34, -1.08838, 235.063, 332.429, -121.168, 235.991, 333.741, 119.194, 
2019 Aug 19 (Mon) 14:30, 234.743, 331.977, -1.08986, 234.727, 331.954, -121.062, 235.884, 333.591, 119.254, 235.752, 333.403, 119.25, 234.612, 331.792, -1.09421, 234.572, 331.734, -1.08165, 234.793, 332.047, -121.06, 235.965, 333.705, 119.229, 235.768, 333.426, 119.223, 234.309, 331.363, -121.089, 234.179, 331.179, -121.093, 234.898, 332.196, -1.0708, 234.964, 332.29, -1.06861, 234.965, 332.29, -121.068, 234.753, 331.991, -1.04761, 234.783, 332.033, -121.102, 234.648, 331.842, -1.03711, 234.692, 331.905, -121.119, 235.725, 333.366, 119.235, 
2019 Aug 19 (Mon) 15:00, 236.031, 333.798, -1.25898, 235.991, 333.742, -121.234, 236.798, 334.884, 119.12, 236.679, 334.715, 119.109, 235.913, 333.631, -1.26974, 235.864, 333.563, -1.26019, 236.05, 333.826, -121.229, 236.895, 335.021, 119.101, 236.718, 334.769, 119.085, 235.625, 333.224, -121.281, 235.508, 333.058, -121.292, 236.159, 333.979, -1.23336, 236.219, 334.064, -1.22795, 236.218, 334.062, -121.227, 236.004, 333.76, -1.21941, 236.078, 333.865, -121.268, 235.897, 333.608, -1.21514, 236.008, 333.766, -121.288, 236.667, 334.698, 119.094, 
2019 Aug 19 (Mon) 15:30, 235.224, 332.657, -1.31299, 235.189, 332.607, -121.284, 236.201, 334.039, 119.088, 236.066, 333.848, 119.078, 235.09, 332.468, -1.32241, 235.04, 332.397, -1.31086, 235.256, 332.702, -121.28, 236.301, 334.18, 119.065, 236.1, 333.895, 119.051, 234.77, 332.015, -121.328, 234.637, 331.827, -121.338, 235.373, 332.868, -1.28737, 235.441, 332.964, -1.28264, 235.44, 332.963, -121.282, 235.208, 332.634, -1.26873, 235.272, 332.725, -121.324, 235.091, 332.469, -1.26177, 235.188, 332.606, -121.345, 236.048, 333.822, 119.062, 
2019 Aug 19 (Mon) 16:00, 235.53, 333.089, -1.43349, 235.484, 333.024, -121.405, 236.406, 334.329, 118.997, 236.27, 334.137, 118.985, 235.395, 332.899, -1.44575, 235.34, 332.821, -1.43486, 235.551, 333.12, -121.399, 236.516, 334.485, 118.976, 236.314, 334.198, 118.957, 235.067, 332.435, -121.458, 234.933, 332.246, -121.471, 235.675, 333.294, -1.40425, 235.743, 333.391, -1.39809, 235.742, 333.389, -121.397, 235.499, 333.045, -1.38835, 235.583, 333.164, -121.444, 235.376, 332.873, -1.38348, 235.503, 333.052, -121.467, 236.257, 334.118, 118.967, 
