Time, 10_EV, 11_EV, 12_EV, 13_EV, 14_EV, 15_EV, 16_EV, 17_EV, 18_EV, 19_EV, 1_EV, 20_EV, 21_EV, 22_EV, 23_EV, 24_EV, 26_EV, 27_EV, 29_EV, 2_EV, 30_EV, 31_EV, 32_EV, 33_EV, 36_EV, 37_EV, 39_EV, 3_EV, 40_EV, 42_EV, 43_EV, 44_EV, 45_EV, 46_EV, 47_EV, 48_EV, 49_EV, 4_EV, 50_EV, 51_EV, 52_EV, 54_EV, 55_EV, 56_EV, 58_EV, 59_EV, 60_EV, 61_EV, 62_EV, 63_EV, 65_EV, 7_EV, 8_EV, 9_EV, 
2019 Aug 19 (Mon) 16:00, 100, 98.8601, 100, 98.1562, 100, 100, 100, 98.1581, 100, 100, 100, 100, 100, 100, 99.976, 100, 100, 100, 99.7026, 100, 99.2366, 98.6509, 100, 98.3305, 100, 100, 100, 100, 98.2217, 99.1661, 100, 100, 99.2438, 100, 98.8577, 99.6245, 100, 98.9958, 100, 100, 100, 100, 100, 98.75, 99.2296, 100, 100, 100, 100, 99.7181, 100, 100, 100, 99.358, 
2019 Aug 19 (Mon) 16:30, 100, 98.8601, 100, 98.1562, 100, 100, 100, 98.1581, 100, 100, 100, 100, 100, 100, 99.976, 100, 100, 100, 99.7026, 100, 99.2366, 98.6509, 100, 98.3305, 100, 100, 100, 100, 98.2217, 99.1661, 100, 100, 99.2438, 100, 98.8577, 99.6245, 100, 98.9958, 100, 100, 100, 100, 100, 98.75, 99.2296, 100, 100, 100, 100, 99.7181, 100, 100, 100, 99.358, 
2019 Aug 19 (Mon) 17:00, 100, 98.8601, 100, 98.1562, 100, 100, 100, 98.1581, 100, 100, 100, 100, 100, 100, 99.976, 100, 100, 100, 99.7026, 100, 99.2366, 98.6509, 100, 98.3305, 100, 100, 100, 100, 98.2217, 99.1661, 100, 100, 99.2438, 100, 98.8577, 99.6245, 100, 98.9958, 100, 100, 100, 100, 100, 98.75, 99.2296, 100, 100, 100, 100, 99.7181, 100, 100, 100, 99.358, 
2019 Aug 19 (Mon) 17:30, 100, 98.8601, 100, 98.1562, 100, 100, 100, 98.1581, 100, 100, 100, 100, 100, 100, 99.976, 100, 100, 100, 99.7026, 100, 99.2366, 98.6509, 100, 98.3305, 100, 100, 100, 100, 98.2217, 99.1661, 100, 100, 99.2438, 100, 98.8577, 99.6245, 100, 98.9958, 100, 100, 100, 100, 100, 98.75, 99.2296, 100, 100, 100, 100, 99.7181, 100, 100, 100, 99.358, 
2019 Aug 19 (Mon) 18:00, 100, 98.8601, 100, 98.1562, 100, 100, 100, 98.1581, 100, 100, 100, 100, 100, 100, 99.976, 100, 100, 100, 99.7026, 100, 99.2366, 98.6509, 100, 98.3305, 100, 100, 100, 100, 98.2217, 99.1661, 100, 100, 99.2438, 100, 98.8577, 99.6245, 100, 98.9958, 100, 100, 100, 100, 100, 98.75, 99.2296, 100, 100, 100, 100, 99.7181, 100, 100, 100, 99.358, 
2019 Aug 19 (Mon) 18:30, 92.0513, 90.9114, 92.0513, 90.2075, 92.0513, 92.0513, 92.0513, 90.2094, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0273, 92.0513, 92.0513, 92.0513, 91.7539, 92.0513, 91.2879, 90.7022, 92.0513, 90.3818, 92.0513, 92.0513, 92.0513, 92.0513, 90.2729, 91.2174, 92.0513, 92.0513, 91.2951, 92.0513, 90.909, 91.6758, 92.0513, 91.0471, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 90.8013, 91.2809, 92.0513, 92.0513, 92.0513, 92.0513, 91.7693, 92.0513, 92.0513, 92.0513, 91.4093, 
2019 Aug 19 (Mon) 19:00, 97.7543, 96.6302, 97.7543, 95.9359, 97.7543, 97.7543, 97.7543, 95.9378, 97.7543, 97.7543, 97.7543, 97.7543, 97.7543, 97.7543, 97.7303, 97.7543, 97.7543, 97.7543, 97.4614, 97.7543, 97.0026, 96.4239, 97.7543, 96.1088, 97.7543, 97.7543, 97.7543, 97.7543, 96.0013, 96.9321, 97.7543, 97.7543, 97.0098, 97.7543, 96.6278, 97.3846, 97.7543, 96.7645, 97.7543, 97.7543, 97.7543, 97.7543, 97.7543, 96.5216, 96.9956, 97.7543, 97.7543, 97.7543, 97.7543, 97.4768, 97.7543, 97.7543, 97.7543, 97.1212, 
2019 Aug 19 (Mon) 19:30, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 
2019 Aug 19 (Mon) 20:00, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 
2019 Aug 19 (Mon) 20:30, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 
2019 Aug 19 (Mon) 21:00, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 
2019 Aug 19 (Mon) 21:30, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 
2019 Aug 19 (Mon) 22:00, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 
2019 Aug 19 (Mon) 22:30, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 
2019 Aug 19 (Mon) 23:00, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 
2019 Aug 19 (Mon) 23:30, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 
2019 Aug 20 (Tue) 0:00, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 
