Time, I_PhaseA_RMS, I_PhaseA_Mag, I_PhaseA_Pha, I_PhaseB_RMS, I_PhaseB_Mag, I_PhaseB_Pha, I_PhaseC_RMS, I_PhaseC_Mag, I_PhaseC_Pha, I_Neutral_RMS, I_Neutral_Mag, I_Neutral_Pha
2019 Aug 19 (Mon) 6:30, 111.84, 158.166, -29.0405, 166.402, 235.317, -142.415, 165.766, 234.419, 97.1926, 55.5153, 78.5104, 171.011, 
2019 Aug 19 (Mon) 7:00, 114.852, 162.425, -25.1887, 170.604, 241.258, -140.148, 169.932, 240.309, 99.4616, 55.7681, 78.868, 170.284, 
2019 Aug 19 (Mon) 7:30, 123.588, 174.779, -26.1039, 178.572, 252.528, -141.207, 177.87, 251.536, 98.4089, 55.0668, 77.8763, 169.853, 
2019 Aug 19 (Mon) 8:00, 120.215, 170.01, -24.8677, 175.795, 248.6, -140.227, 175.098, 247.616, 99.3864, 55.4547, 78.4248, 169.891, 
2019 Aug 19 (Mon) 8:30, 116.47, 164.714, -29.6977, 170.52, 241.141, -143.135, 169.87, 240.223, 96.4769, 55.1114, 77.9393, 170.832, 
2019 Aug 19 (Mon) 9:00, 114.456, 161.865, -29.4184, 114.457, 161.851, -149.415, 114.466, 161.866, 90.5877, 6.97501e-06, 9.86416e-06, -38.0068, 
2019 Aug 19 (Mon) 9:30, 106.659, 150.838, -23.7225, 106.667, 150.827, -143.719, 106.675, 150.841, 96.2832, 7.12915e-06, 1.00821e-05, -38.0093, 
2019 Aug 19 (Mon) 10:00, 98.9652, 139.958, -19.3167, 98.9784, 139.949, -139.313, 98.984, 139.961, 100.688, 7.25322e-06, 1.02576e-05, -37.7654, 
2019 Aug 19 (Mon) 10:30, 92.8546, 131.316, -16.3316, 92.8694, 131.31, -136.329, 92.8732, 131.319, 103.672, 7.3375e-06, 1.03768e-05, -37.4726, 
2019 Aug 19 (Mon) 11:00, 96.8289, 136.937, -20.4242, 96.8421, 136.927, -140.421, 96.8481, 136.939, 99.5809, 7.24607e-06, 1.02475e-05, -37.5096, 
2019 Aug 19 (Mon) 11:30, 99.734, 141.045, -20.0346, 99.7466, 141.036, -140.031, 99.7527, 141.048, 99.9704, 7.23619e-06, 1.02335e-05, -37.7723, 
2019 Aug 19 (Mon) 12:00, 101.54, 143.599, -20.4332, 101.552, 143.59, -140.43, 101.558, 143.602, 99.5719, 7.21898e-06, 1.02092e-05, -37.8856, 
2019 Aug 19 (Mon) 12:30, 105.304, 148.922, -24.2047, 105.312, 148.91, -144.201, 105.32, 148.925, 95.8012, 7.1291e-06, 1.00821e-05, -37.8582, 
2019 Aug 19 (Mon) 13:00, 100.794, 142.544, -15.9526, 100.808, 142.538, -135.95, 100.812, 142.547, 104.051, 7.3049e-06, 1.03307e-05, -38.1555, 
2019 Aug 19 (Mon) 13:30, 97.4412, 137.803, -18.3448, 97.455, 137.795, -138.342, 97.4601, 137.805, 101.66, 7.27864e-06, 1.02936e-05, -37.7133, 
2019 Aug 19 (Mon) 14:00, 103.728, 146.693, -26.1275, 103.735, 146.681, -146.124, 103.743, 146.695, 93.8787, 7.10595e-06, 1.00493e-05, -37.5542, 
2019 Aug 19 (Mon) 14:30, 105.224, 148.809, -29.5246, 105.227, 148.794, -149.521, 105.236, 148.81, 90.4819, 7.03859e-06, 9.95407e-06, -37.3202, 
2019 Aug 19 (Mon) 15:00, 101.553, 143.618, -17.0975, 101.567, 143.611, -137.094, 101.571, 143.621, 102.907, 7.27973e-06, 1.02951e-05, -38.1384, 
2019 Aug 19 (Mon) 15:30, 111.324, 157.436, -21.7406, 111.332, 157.425, -141.737, 111.34, 157.439, 98.2646, 7.13833e-06, 1.00951e-05, -38.5588, 
2019 Aug 19 (Mon) 16:00, 115.179, 162.888, -17.6168, 115.19, 162.88, -137.614, 115.196, 162.891, 102.387, 7.20032e-06, 1.01828e-05, -39.2268, 
2019 Aug 19 (Mon) 16:30, 127.198, 179.885, -23.6265, 127.201, 179.873, -143.623, 127.211, 179.888, 96.3786, 7.00595e-06, 9.90791e-06, -39.6355, 
2019 Aug 19 (Mon) 17:00, 138.574, 195.974, -22.2668, 138.577, 195.961, -142.264, 138.586, 195.977, 97.7379, 6.97058e-06, 9.85789e-06, -40.6953, 
2019 Aug 19 (Mon) 17:30, 157.72, 223.05, -27.2596, 157.716, 223.036, -147.257, 157.727, 223.052, 92.7448, 6.73314e-06, 9.5221e-06, -41.5749, 
2019 Aug 19 (Mon) 18:00, 173.708, 245.66, -28.6113, 173.702, 245.647, -148.609, 173.712, 245.661, 91.3924, 6.59659e-06, 9.32898e-06, -42.6121, 
2019 Aug 19 (Mon) 18:30, 286.801, 405.598, -24.4984, 261.899, 370.378, -144.782, 235.046, 332.402, 94.3893, 45.9441, 64.9748, -50.807, 
2019 Aug 19 (Mon) 19:00, 289.109, 408.861, -25.6333, 264.521, 374.087, -146.025, 238.02, 336.609, 93.0212, 45.4532, 64.2805, -50.7646, 
2019 Aug 19 (Mon) 19:30, 287.828, 407.05, -21.6387, 262.33, 370.984, -141.572, 234.739, 331.966, 98.0293, 46.9694, 66.4248, -51.4774, 
2019 Aug 19 (Mon) 20:00, 281.348, 397.886, -19.6937, 255.339, 361.095, -139.443, 227.205, 321.309, 100.372, 47.897, 67.7366, -51.2289, 
2019 Aug 19 (Mon) 20:30, 287.985, 407.273, -26.5216, 263.594, 372.777, -147.027, 237.345, 335.655, 91.8794, 45.1767, 63.8896, -50.4591, 
2019 Aug 19 (Mon) 21:00, 281.69, 398.369, -23.1725, 256.385, 362.579, -143.349, 229.107, 324.001, 95.9399, 46.5977, 65.8991, -50.6192, 
2019 Aug 19 (Mon) 21:30, 275.691, 389.886, -23.0458, 250.236, 353.882, -143.267, 222.85, 315.153, 95.9491, 46.8424, 66.2452, -50.1009, 
2019 Aug 19 (Mon) 22:00, 262.848, 371.723, -22.0185, 236.91, 335.035, -142.247, 209.1, 295.706, 96.9228, 47.6271, 67.3549, -49.1344, 
2019 Aug 19 (Mon) 22:30, 253.915, 359.089, -21.6709, 227.722, 322.041, -141.957, 199.72, 282.44, 97.1132, 48.0392, 67.9377, -48.3915, 
2019 Aug 19 (Mon) 23:00, 240.847, 340.609, -20.8477, 214.222, 302.947, -141.18, 185.865, 262.845, 97.7803, 48.7385, 68.9266, -47.3566, 
2019 Aug 19 (Mon) 23:30, 228.904, 323.719, -21.3743, 202.155, 285.882, -141.956, 173.822, 245.812, 96.6296, 48.9745, 69.2604, -46.2063, 
2019 Aug 20 (Tue) 0:00, 212.858, 301.026, -17.6595, 185.065, 261.707, -137.877, 155.643, 220.099, 101.106, 50.6038, 71.5646, -45.3073, 
