Time, 11 (3), , , , , , , 14 (6), , , , , , , 19 (11), , , , , , , 20 (13), , , , , , , 38 (32), , , , , , , 50 (46), , , , , , , 56 (52), , , , , , , 60 (57), , , , , , , 62 (59), , , , , , , 
Time, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, V_RMS, V_Valley, L, SOC, N, P, SwitchedOn, 
2019 Aug 19 (Mon) 13:30, 229.563, 0, 0, 90.3405, 0, 0, 0, 229.563, 0, 0, 96.6441, 0, 0, 0, 229.117, 0, 0, 96.1585, 0, 0, 0, 228.783, 0, 0, 94.3457, 0, 0, 0, 228.56, 0, 0, 100, 0, 0, 0, 230.12, 0, 0, 99.7202, 0, 0, 0, 229.897, 0, 0, 100, 0, 0, 0, 229.897, 0, 0, 98.798, 0, 0, 0, 229.785, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 14:00, 226.855, 0, 0, 90.3405, 0, 0, 0, 226.855, 0, 0, 96.6441, 0, 0, 0, 226.362, 0, 0, 96.1585, 0, 0, 0, 225.993, 0, 0, 94.3457, 0, 0, 0, 225.747, 0, 0, 100, 0, 0, 0, 227.47, 0, 0, 99.7202, 0, 0, 0, 227.223, 0, 0, 100, 0, 0, 0, 227.223, 0, 0, 98.798, 0, 0, 0, 227.099, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 14:30, 225.822, 0, 0, 90.3405, 0, 0, 0, 225.822, 0, 0, 96.6441, 0, 0, 0, 225.318, 0, 0, 96.1585, 0, 0, 0, 224.939, 0, 0, 94.3457, 0, 0, 0, 224.688, 0, 0, 100, 0, 0, 0, 226.453, 0, 0, 99.7202, 0, 0, 0, 226.2, 0, 0, 100, 0, 0, 0, 226.2, 0, 0, 98.798, 0, 0, 0, 226.073, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 15:00, 229.509, 0, 0, 90.3405, 0, 0, 0, 229.509, 0, 0, 96.6441, 0, 0, 0, 229.049, 0, 0, 96.1585, 0, 0, 0, 228.704, 0, 0, 94.3457, 0, 0, 0, 228.474, 0, 0, 100, 0, 0, 0, 230.085, 0, 0, 99.7202, 0, 0, 0, 229.853, 0, 0, 100, 0, 0, 0, 229.854, 0, 0, 98.798, 0, 0, 0, 229.738, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 15:30, 227.202, 0, 0, 90.3405, 0, 0, 0, 227.202, 0, 0, 96.6441, 0, 0, 0, 226.684, 0, 0, 96.1585, 0, 0, 0, 226.297, 0, 0, 94.3457, 0, 0, 0, 226.039, 0, 0, 100, 0, 0, 0, 227.849, 0, 0, 99.7202, 0, 0, 0, 227.589, 0, 0, 100, 0, 0, 0, 227.589, 0, 0, 98.798, 0, 0, 0, 227.459, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 16:00, 228.075, 0, 0, 90.3405, 0, 0, 0, 228.075, 0, 0, 96.6441, 0, 0, 0, 227.553, 0, 0, 96.1585, 0, 0, 0, 227.162, 0, 0, 94.3457, 0, 0, 0, 226.902, 0, 0, 100, 0, 0, 0, 228.728, 0, 0, 99.7202, 0, 0, 0, 228.466, 0, 0, 100, 0, 0, 0, 228.466, 0, 0, 98.798, 0, 0, 0, 228.334, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 16:30, 224.907, 0, 0, 90.3405, 0, 0, 0, 224.907, 0, 0, 96.6441, 0, 0, 0, 224.313, 0, 0, 96.1585, 0, 0, 0, 223.867, 0, 0, 94.3457, 0, 0, 0, 223.57, 0, 0, 100, 0, 0, 0, 225.651, 0, 0, 99.7202, 0, 0, 0, 225.352, 0, 0, 100, 0, 0, 0, 225.352, 0, 0, 98.798, 0, 0, 0, 225.202, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 17:00, 224.161, 0, 0, 90.3405, 0, 0, 0, 224.161, 0, 0, 96.6441, 0, 0, 0, 223.519, 0, 0, 96.1585, 0, 0, 0, 223.039, 0, 0, 94.3457, 0, 0, 0, 222.719, 0, 0, 100, 0, 0, 0, 224.964, 0, 0, 99.7202, 0, 0, 0, 224.641, 0, 0, 100, 0, 0, 0, 224.641, 0, 0, 98.798, 0, 0, 0, 224.479, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 17:30, 220.149, 0, 0, 90.3405, 0, 0, 0, 220.149, 0, 0, 96.6441, 0, 0, 0, 219.404, 0, 0, 96.1585, 0, 0, 0, 218.847, 0, 0, 94.3457, 0, 0, 0, 218.476, 0, 0, 100, 0, 0, 0, 221.08, 0, 0, 99.7202, 0, 0, 0, 220.705, 0, 0, 100, 0, 0, 0, 220.705, 0, 0, 98.798, 0, 0, 0, 220.518, 0, 0, 100, 0, 0, 0, 
2019 Aug 19 (Mon) 18:00, 217.717, 0, 0, 90.3405, 0, 0, 0, 217.717, 0, 0, 96.6441, 0, 0, 0, 216.895, 0, 0, 96.1585, 0, 0, 0, 216.28, 0, 0, 94.3457, 0, 0, 0, 215.87, 0, 0, 100, 0, 0, 0, 218.745, 0, 0, 99.7202, 0, 0, 0, 218.33, 0, 0, 100, 0, 0, 0, 218.33, 0, 0, 98.798, 0, 0, 0, 218.123, 0, 0, 100, 0, 0, 0, 
