Time, I_PhaseA_RMS, I_PhaseA_Mag, I_PhaseA_Pha, I_PhaseB_RMS, I_PhaseB_Mag, I_PhaseB_Pha, I_PhaseC_RMS, I_PhaseC_Mag, I_PhaseC_Pha, I_Neutral_RMS, I_Neutral_Mag, I_Neutral_Pha
2019 Aug 19 (Mon) 15:30, 111.324, 157.436, -21.7407, 111.332, 157.425, -141.737, 111.34, 157.439, 98.2646, 3.99657e-06, 5.652e-06, 111.737, 
2019 Aug 19 (Mon) 16:00, 115.179, 162.888, -17.6168, 115.19, 162.88, -137.614, 115.196, 162.891, 102.387, 4.02634e-06, 5.69411e-06, 110.939, 
2019 Aug 19 (Mon) 16:30, 127.198, 179.885, -23.6265, 127.201, 179.873, -143.623, 127.211, 179.888, 96.3786, 3.90502e-06, 5.52254e-06, 110.753, 
2019 Aug 19 (Mon) 17:00, 138.574, 195.974, -22.2668, 138.577, 195.961, -142.264, 138.586, 195.977, 97.7379, 3.87211e-06, 5.47599e-06, 109.658, 
2019 Aug 19 (Mon) 17:30, 157.72, 223.05, -27.2596, 157.716, 223.036, -147.257, 157.727, 223.052, 92.7448, 3.72044e-06, 5.2615e-06, 109.029, 
2019 Aug 19 (Mon) 18:00, 173.708, 245.66, -28.6113, 173.702, 245.647, -148.609, 173.712, 245.661, 91.3924, 3.62799e-06, 5.13076e-06, 108.099, 
2019 Aug 19 (Mon) 18:30, 184.544, 260.985, -28.5634, 184.413, 260.795, -148.455, 209.795, 296.692, 93.2688, 25.7184, 36.3713, 105.884, 
2019 Aug 19 (Mon) 19:00, 188.414, 266.458, -30.2274, 188.281, 266.266, -150.12, 213.181, 301.48, 91.76, 25.4106, 35.9359, 105.995, 
2019 Aug 19 (Mon) 19:30, 182.31, 257.825, -23.7482, 182.186, 257.641, -143.636, 208.631, 295.043, 97.4317, 26.3353, 37.2438, 104.999, 
2019 Aug 19 (Mon) 20:00, 173.414, 245.244, -20.8654, 173.296, 245.065, -140.751, 200.466, 283.492, 100.025, 26.934, 38.0904, 105.167, 
2019 Aug 19 (Mon) 20:30, 188.412, 266.455, -31.7438, 188.278, 266.262, -151.638, 212.802, 300.945, 90.4501, 25.2503, 35.7093, 106.376, 
2019 Aug 19 (Mon) 21:00, 177.543, 251.084, -26.7649, 177.416, 250.898, -146.654, 203.361, 287.591, 94.9448, 26.14, 36.9676, 106.013, 
2019 Aug 19 (Mon) 21:30, 171.069, 241.928, -27.0353, 170.943, 241.743, -146.924, 196.981, 278.569, 94.8467, 26.319, 37.2207, 106.566, 
2019 Aug 19 (Mon) 22:00, 156.339, 221.096, -26.4006, 156.218, 220.916, -146.288, 182.739, 258.425, 95.7143, 26.8614, 37.9878, 107.557, 
2019 Aug 19 (Mon) 22:30, 146.56, 207.267, -26.6748, 146.443, 207.091, -146.561, 173.139, 244.848, 95.7384, 27.1582, 38.4075, 108.341, 
2019 Aug 19 (Mon) 23:00, 131.931, 186.579, -26.6521, 131.821, 186.41, -146.537, 158.876, 224.674, 96.1949, 27.6522, 39.1061, 109.418, 
2019 Aug 19 (Mon) 23:30, 120.24, 170.046, -29.3374, 120.135, 169.882, -149.222, 146.899, 207.737, 94.4709, 27.8585, 39.3978, 110.678, 
2019 Aug 20 (Tue) 0:00, 99.1452, 140.212, -24.2885, 99.0624, 140.07, -144.169, 127.391, 180.141, 99.3404, 28.941, 40.9287, 111.494, 
