Time, I_PhaseA_RMS, I_PhaseA_Mag, I_PhaseA_Pha, I_PhaseB_RMS, I_PhaseB_Mag, I_PhaseB_Pha, I_PhaseC_RMS, I_PhaseC_Mag, I_PhaseC_Pha, I_Neutral_RMS, I_Neutral_Mag, I_Neutral_Pha
2019 Aug 19 (Mon) 8:00, 119.913, 169.583, -24.8432, 119.917, 169.57, -144.84, 119.926, 169.585, 95.1623, 1.57268e-05, 2.22411e-05, -127.49, 
2019 Aug 19 (Mon) 8:30, 116.179, 164.302, -29.6754, 116.18, 164.288, -149.672, 116.189, 164.303, 90.3306, 1.56261e-05, 2.20986e-05, -126.552, 
2019 Aug 19 (Mon) 9:00, 114.456, 161.865, -29.4184, 114.457, 161.851, -149.415, 114.466, 161.866, 90.5877, 1.5669e-05, 2.21593e-05, -126.486, 
2019 Aug 19 (Mon) 9:30, 106.659, 150.838, -23.7225, 106.667, 150.827, -143.719, 106.675, 150.841, 96.2832, 1.60126e-05, 2.26452e-05, -126.754, 
2019 Aug 19 (Mon) 10:00, 98.9652, 139.958, -19.3167, 98.9784, 139.949, -139.313, 98.9841, 139.961, 100.688, 1.63035e-05, 2.30567e-05, -126.722, 
2019 Aug 19 (Mon) 10:30, 92.8546, 131.316, -16.3316, 92.8695, 131.31, -136.329, 92.8733, 131.319, 103.672, 1.6509e-05, 2.33473e-05, -126.572, 
2019 Aug 19 (Mon) 11:00, 96.829, 136.937, -20.4242, 96.8421, 136.928, -140.421, 96.8481, 136.94, 99.5809, 1.63026e-05, 2.30554e-05, -126.456, 
2019 Aug 19 (Mon) 11:30, 99.734, 141.045, -20.0346, 99.7466, 141.036, -140.031, 99.7527, 141.048, 99.9704, 1.62651e-05, 2.30024e-05, -126.701, 
2019 Aug 19 (Mon) 12:00, 101.54, 143.599, -20.4332, 101.552, 143.59, -140.43, 101.558, 143.602, 99.5719, 1.62198e-05, 2.29382e-05, -126.784, 
2019 Aug 19 (Mon) 12:30, 105.304, 148.922, -24.2047, 105.312, 148.91, -144.201, 105.32, 148.925, 95.8012, 1.6021e-05, 2.26572e-05, -126.604, 
2019 Aug 19 (Mon) 13:00, 100.794, 142.544, -15.9526, 100.808, 142.538, -135.95, 100.812, 142.547, 104.051, 1.63951e-05, 2.31861e-05, -127.195, 
2019 Aug 19 (Mon) 13:30, 97.4412, 137.803, -18.3448, 97.4551, 137.795, -138.342, 97.4602, 137.805, 101.66, 1.63633e-05, 2.31412e-05, -126.712, 
2019 Aug 19 (Mon) 14:00, 103.728, 146.693, -26.1275, 103.735, 146.681, -146.124, 103.743, 146.695, 93.8787, 1.59872e-05, 2.26093e-05, -126.264, 
2019 Aug 19 (Mon) 14:30, 105.224, 148.809, -29.5246, 105.227, 148.795, -149.521, 105.236, 148.81, 90.482, 1.58513e-05, 2.24171e-05, -125.916, 
2019 Aug 19 (Mon) 15:00, 101.553, 143.618, -17.0975, 101.567, 143.611, -137.094, 101.571, 143.621, 102.907, 1.63401e-05, 2.31084e-05, -127.137, 
2019 Aug 19 (Mon) 15:30, 111.324, 157.436, -21.7406, 111.333, 157.425, -141.737, 111.34, 157.439, 98.2646, 1.60002e-05, 2.26277e-05, -127.315, 
2019 Aug 19 (Mon) 16:00, 115.18, 162.888, -17.6168, 115.19, 162.88, -137.614, 115.196, 162.892, 102.387, 1.60984e-05, 2.27665e-05, -128.085, 
2019 Aug 19 (Mon) 16:30, 127.198, 179.885, -23.6265, 127.201, 179.873, -143.623, 127.211, 179.888, 96.3786, 1.56427e-05, 2.21221e-05, -128.156, 
2019 Aug 19 (Mon) 17:00, 138.574, 195.974, -22.2668, 138.577, 195.961, -142.264, 138.586, 195.977, 97.7379, 1.55026e-05, 2.1924e-05, -129.151, 
2019 Aug 19 (Mon) 17:30, 157.72, 223.05, -27.2596, 157.716, 223.036, -147.257, 157.727, 223.052, 92.7448, 1.49269e-05, 2.11098e-05, -129.599, 
2019 Aug 19 (Mon) 18:00, 173.708, 245.66, -28.6113, 173.702, 245.647, -148.609, 173.712, 245.661, 91.3924, 1.45668e-05, 2.06005e-05, -130.378, 
2019 Aug 19 (Mon) 18:30, 429.158, 606.921, -25.5618, 506.208, 715.885, -147.581, 423.991, 599.612, 93.9531, 77.0888, 109.02, -154.18, 
2019 Aug 19 (Mon) 19:00, 430.116, 608.276, -26.2694, 506.634, 716.487, -148.128, 424.981, 601.013, 93.2473, 76.402, 108.049, -153.924, 
2019 Aug 19 (Mon) 19:30, 182.149, 257.597, -23.7043, 182.145, 257.584, -143.702, 182.156, 257.6, 96.2994, 1.46882e-05, 2.07723e-05, -132.01, 
2019 Aug 19 (Mon) 20:00, 173.257, 245.022, -20.8206, 173.257, 245.01, -140.818, 173.267, 245.026, 99.1831, 1.50034e-05, 2.1218e-05, -131.919, 
2019 Aug 19 (Mon) 20:30, 188.249, 266.224, -31.7028, 188.242, 266.212, -151.701, 188.251, 266.224, 88.3002, 1.41385e-05, 1.99949e-05, -130.591, 
2019 Aug 19 (Mon) 21:00, 177.385, 250.861, -26.7221, 177.38, 250.847, -146.72, 177.391, 250.863, 93.2817, 1.45996e-05, 2.0647e-05, -131.038, 
2019 Aug 19 (Mon) 21:30, 170.915, 241.71, -26.9927, 170.91, 241.696, -146.99, 170.92, 241.712, 93.0113, 1.47005e-05, 2.07896e-05, -130.537, 
2019 Aug 19 (Mon) 22:00, 156.193, 220.89, -26.358, 156.19, 220.876, -146.355, 156.2, 220.892, 93.6464, 1.49977e-05, 2.12099e-05, -129.67, 
2019 Aug 19 (Mon) 22:30, 146.421, 207.07, -26.6324, 146.418, 207.056, -146.63, 146.428, 207.072, 93.3724, 1.51635e-05, 2.14444e-05, -128.966, 
2019 Aug 19 (Mon) 23:00, 131.802, 186.396, -26.6098, 131.802, 186.382, -146.607, 131.811, 186.398, 93.3955, 1.54362e-05, 2.183e-05, -128.008, 
2019 Aug 19 (Mon) 23:30, 120.12, 169.875, -29.296, 120.12, 169.861, -149.293, 120.129, 169.876, 90.7099, 1.55604e-05, 2.20057e-05, -126.848, 
2019 Aug 20 (Tue) 0:00, 99.0413, 140.065, -24.2462, 99.051, 140.054, -144.242, 99.0585, 140.068, 95.7599, 1.6137e-05, 2.28211e-05, -126.186, 
