Time, I_PhaseA_RMS, I_PhaseA_Mag, I_PhaseA_Pha, I_PhaseB_RMS, I_PhaseB_Mag, I_PhaseB_Pha, I_PhaseC_RMS, I_PhaseC_Mag, I_PhaseC_Pha, I_Neutral_RMS, I_Neutral_Mag, I_Neutral_Pha
2019 Aug 19 (Mon) 6:30, 247.399, 349.874, -20.3767, 220.626, 312.003, -140.838, 221.547, 313.308, 99.4976, 25.2791, 35.75, -15.9861, 
2019 Aug 19 (Mon) 7:00, 252.255, 356.742, -19.0986, 225.325, 318.648, -139.318, 226.29, 320.014, 101.013, 25.3451, 35.8434, -16.728, 
2019 Aug 19 (Mon) 7:30, 259.202, 366.568, -20.0144, 232.6, 328.937, -140.285, 233.585, 330.332, 100.039, 25.0092, 35.3684, -17.0437, 
2019 Aug 19 (Mon) 8:00, 257.038, 363.506, -19.3064, 230.249, 325.612, -139.503, 231.234, 327.007, 100.824, 25.1825, 35.6134, -17.064, 
2019 Aug 19 (Mon) 8:30, 250.887, 354.808, -20.9724, 224.311, 317.217, -141.475, 225.241, 318.532, 98.8568, 25.0895, 35.4819, -16.1, 
2019 Aug 19 (Mon) 9:00, 114.456, 161.865, -29.4184, 114.457, 161.851, -149.415, 114.466, 161.866, 90.5877, 1.56883e-05, 2.21866e-05, -7.14542, 
2019 Aug 19 (Mon) 9:30, 106.659, 150.838, -23.7225, 106.667, 150.827, -143.719, 106.675, 150.841, 96.2832, 1.60479e-05, 2.26952e-05, -7.35184, 
2019 Aug 19 (Mon) 10:00, 98.9653, 139.958, -19.3167, 98.9784, 139.949, -139.313, 98.9841, 139.961, 100.688, 1.63483e-05, 2.31201e-05, -7.26145, 
2019 Aug 19 (Mon) 10:30, 92.8546, 131.316, -16.3316, 92.8695, 131.31, -136.329, 92.8733, 131.319, 103.672, 1.65585e-05, 2.34172e-05, -7.06626, 
2019 Aug 19 (Mon) 11:00, 96.829, 136.937, -20.4242, 96.8421, 136.927, -140.421, 96.8481, 136.94, 99.5809, 1.63431e-05, 2.31127e-05, -6.98761, 
2019 Aug 19 (Mon) 11:30, 99.734, 141.045, -20.0346, 99.7466, 141.036, -140.031, 99.7527, 141.048, 99.9704, 1.63084e-05, 2.30635e-05, -7.24758, 
2019 Aug 19 (Mon) 12:00, 101.54, 143.599, -20.4332, 101.552, 143.59, -140.43, 101.558, 143.602, 99.5719, 1.62626e-05, 2.29988e-05, -7.34255, 
2019 Aug 19 (Mon) 12:30, 105.304, 148.922, -24.2047, 105.312, 148.91, -144.201, 105.32, 148.925, 95.8012, 1.60543e-05, 2.27042e-05, -7.19612, 
2019 Aug 19 (Mon) 13:00, 100.794, 142.544, -15.9526, 100.808, 142.538, -135.95, 100.812, 142.547, 104.051, 1.64508e-05, 2.32649e-05, -7.73184, 
2019 Aug 19 (Mon) 13:30, 97.4412, 137.803, -18.3448, 97.4551, 137.795, -138.342, 97.4602, 137.805, 101.66, 1.641e-05, 2.32072e-05, -7.24005, 
2019 Aug 19 (Mon) 14:00, 103.728, 146.693, -26.1275, 103.735, 146.681, -146.124, 103.743, 146.695, 93.8787, 1.60139e-05, 2.26471e-05, -6.85163, 
2019 Aug 19 (Mon) 14:30, 105.224, 148.809, -29.5246, 105.227, 148.795, -149.521, 105.236, 148.81, 90.482, 1.5868e-05, 2.24408e-05, -6.51926, 
2019 Aug 19 (Mon) 15:00, 101.553, 143.618, -17.0975, 101.567, 143.611, -137.094, 101.571, 143.621, 102.907, 1.63929e-05, 2.31831e-05, -7.68247, 
2019 Aug 19 (Mon) 15:30, 111.324, 157.436, -21.7406, 111.333, 157.425, -141.737, 111.34, 157.439, 98.2646, 1.60438e-05, 2.26894e-05, -7.93457, 
2019 Aug 19 (Mon) 16:00, 115.18, 162.888, -17.6168, 115.19, 162.88, -137.614, 115.196, 162.892, 102.387, 1.61578e-05, 2.28506e-05, -8.70826, 
2019 Aug 19 (Mon) 16:30, 127.198, 179.885, -23.6265, 127.201, 179.873, -143.623, 127.211, 179.888, 96.3786, 1.56872e-05, 2.2185e-05, -8.87578, 
2019 Aug 19 (Mon) 17:00, 138.574, 195.974, -22.2668, 138.577, 195.961, -142.264, 138.586, 195.977, 97.7379, 1.55579e-05, 2.20022e-05, -9.93257, 
2019 Aug 19 (Mon) 17:30, 157.72, 223.05, -27.2596, 157.716, 223.036, -147.257, 157.727, 223.052, 92.7448, 1.49686e-05, 2.11688e-05, -10.5224, 
2019 Aug 19 (Mon) 18:00, 173.708, 245.66, -28.6113, 173.702, 245.647, -148.609, 173.712, 245.661, 91.3924, 1.4608e-05, 2.06589e-05, -11.412, 
2019 Aug 19 (Mon) 18:30, 447.912, 633.443, -26.1422, 379.827, 537.154, -144.978, 380.324, 537.858, 95.2648, 67.027, 94.7905, -33.1084, 
2019 Aug 19 (Mon) 19:00, 447.656, 633.081, -26.7787, 380.347, 537.89, -145.79, 380.84, 538.587, 94.4486, 66.1209, 93.5091, -32.8197, 
2019 Aug 19 (Mon) 19:30, 447.759, 633.227, -24.5528, 379.686, 536.953, -142.983, 380.197, 537.676, 97.2633, 67.4369, 95.3702, -33.7903, 
2019 Aug 19 (Mon) 20:00, 449.285, 635.385, -23.5527, 379.032, 536.027, -141.654, 379.551, 536.762, 98.6016, 69.9772, 98.9628, -34.272, 
2019 Aug 19 (Mon) 20:30, 448.055, 633.646, -27.2679, 380.454, 538.042, -146.397, 380.943, 538.734, 93.842, 66.3228, 93.7946, -32.6163, 
2019 Aug 19 (Mon) 21:00, 448.774, 634.663, -25.4204, 379.043, 536.045, -144.031, 379.546, 536.757, 96.2178, 68.8508, 97.3698, -33.4537, 
2019 Aug 19 (Mon) 21:30, 449.853, 636.188, -25.363, 378.327, 535.032, -143.914, 378.829, 535.743, 96.3413, 70.6649, 99.9353, -33.5174, 
2019 Aug 19 (Mon) 22:00, 452.173, 639.469, -24.8638, 376.778, 532.84, -143.172, 377.279, 533.549, 97.0963, 74.7087, 105.654, -33.8182, 
2019 Aug 19 (Mon) 22:30, 453.761, 641.714, -24.7125, 375.737, 531.369, -142.901, 376.234, 532.072, 97.3757, 77.4117, 109.477, -33.9418, 
2019 Aug 19 (Mon) 23:00, 456.098, 645.02, -24.3599, 374.251, 529.266, -142.324, 374.74, 529.958, 97.9653, 81.4169, 115.141, -34.1808, 
2019 Aug 19 (Mon) 23:30, 458.069, 647.807, -24.5802, 372.856, 527.293, -142.511, 373.33, 527.964, 97.7878, 84.7399, 119.84, -34.1565, 
2019 Aug 20 (Tue) 0:00, 458.15, 647.922, -23.0541, 368.817, 521.579, -140.371, 369.268, 522.218, 99.9463, 89.6049, 126.721, -34.6378, 
