Time, I_PhaseA_RMS, I_PhaseA_Mag, I_PhaseA_Pha, I_PhaseB_RMS, I_PhaseB_Mag, I_PhaseB_Pha, I_PhaseC_RMS, I_PhaseC_Mag, I_PhaseC_Pha, I_Neutral_RMS, I_Neutral_Mag, I_Neutral_Pha
2019 Aug 19 (Mon) 10:00, 98.9653, 139.958, -19.3167, 98.9784, 139.949, -139.313, 98.9841, 139.961, 100.688, 1.23602e-05, 1.74799e-05, -127.035, 
2019 Aug 19 (Mon) 10:30, 92.8547, 131.316, -16.3316, 92.8695, 131.31, -136.329, 92.8733, 131.319, 103.672, 1.25101e-05, 1.7692e-05, -126.833, 
2019 Aug 19 (Mon) 11:00, 96.829, 136.937, -20.4242, 96.8422, 136.928, -140.421, 96.8481, 136.94, 99.5809, 1.23552e-05, 1.74729e-05, -126.775, 
2019 Aug 19 (Mon) 11:30, 99.734, 141.045, -20.0346, 99.7467, 141.036, -140.031, 99.7527, 141.048, 99.9704, 1.23315e-05, 1.74394e-05, -127.024, 
2019 Aug 19 (Mon) 12:00, 101.54, 143.599, -20.4332, 101.552, 143.59, -140.43, 101.558, 143.602, 99.5719, 1.22991e-05, 1.73935e-05, -127.119, 
2019 Aug 19 (Mon) 12:30, 105.304, 148.922, -24.2047, 105.312, 148.91, -144.201, 105.32, 148.925, 95.8012, 1.21488e-05, 1.7181e-05, -126.995, 
2019 Aug 19 (Mon) 13:00, 100.794, 142.544, -15.9526, 100.808, 142.538, -135.95, 100.812, 142.547, 104.051, 1.2436e-05, 1.75871e-05, -127.473, 
2019 Aug 19 (Mon) 13:30, 97.4412, 137.803, -18.3448, 97.4551, 137.795, -138.342, 97.4602, 137.805, 101.66, 1.24043e-05, 1.75424e-05, -127.009, 
2019 Aug 19 (Mon) 14:00, 103.728, 146.693, -26.1275, 103.735, 146.681, -146.124, 103.743, 146.695, 93.8788, 1.21182e-05, 1.71377e-05, -126.672, 
2019 Aug 19 (Mon) 14:30, 105.224, 148.809, -29.5246, 105.227, 148.795, -149.521, 105.236, 148.81, 90.482, 1.20119e-05, 1.69874e-05, -126.368, 
2019 Aug 19 (Mon) 15:00, 101.553, 143.618, -17.0975, 101.567, 143.611, -137.094, 101.571, 143.621, 102.907, 1.23943e-05, 1.75281e-05, -127.432, 
2019 Aug 19 (Mon) 15:30, 111.324, 157.436, -21.7406, 111.333, 157.425, -141.737, 111.34, 157.439, 98.2646, 1.21446e-05, 1.71751e-05, -127.696, 
2019 Aug 19 (Mon) 16:00, 115.18, 162.888, -17.6168, 115.19, 162.88, -137.614, 115.196, 162.892, 102.387, 1.22302e-05, 1.72961e-05, -128.423, 
2019 Aug 19 (Mon) 16:30, 127.198, 179.885, -23.6265, 127.201, 179.873, -143.623, 127.211, 179.888, 96.3786, 1.18924e-05, 1.68185e-05, -128.618, 
2019 Aug 19 (Mon) 17:00, 138.574, 195.974, -22.2668, 138.577, 195.961, -142.264, 138.586, 195.977, 97.7379, 1.1804e-05, 1.66933e-05, -129.63, 
2019 Aug 19 (Mon) 17:30, 157.72, 223.05, -27.2596, 157.716, 223.036, -147.257, 157.727, 223.052, 92.7448, 1.13822e-05, 1.60968e-05, -130.233, 
2019 Aug 19 (Mon) 18:00, 173.708, 245.66, -28.6113, 173.702, 245.647, -148.609, 173.712, 245.661, 91.3924, 1.11258e-05, 1.57343e-05, -131.104, 
2019 Aug 19 (Mon) 18:30, 210.579, 297.804, -26.6249, 184.354, 260.711, -148.521, 184.402, 260.781, 91.4771, 27.0198, 38.2117, -13.4776, 
2019 Aug 19 (Mon) 19:00, 213.97, 302.599, -28.1338, 188.221, 266.181, -150.186, 188.27, 266.251, 89.812, 26.7318, 37.8045, -13.4284, 
2019 Aug 19 (Mon) 19:30, 182.149, 257.597, -23.7043, 182.145, 257.584, -143.702, 182.156, 257.6, 96.2995, 1.12406e-05, 1.58966e-05, -132.658, 
2019 Aug 19 (Mon) 20:00, 173.274, 245.046, -20.825, 201.238, 284.584, -139.867, 173.247, 244.998, 99.1805, 28.1647, 39.8309, -133.923, 
2019 Aug 19 (Mon) 20:30, 312.04, 441.292, -26.216, 263.918, 373.235, -147.056, 238.383, 337.123, 92.0535, 65.9777, 93.3065, -40.8325, 
2019 Aug 19 (Mon) 21:00, 306.525, 433.492, -23.1503, 230.347, 325.755, -143.995, 230.177, 325.515, 96.1164, 75.9598, 107.423, -20.8656, 
2019 Aug 19 (Mon) 21:30, 170.915, 241.71, -26.9926, 170.91, 241.696, -146.99, 170.92, 241.712, 93.0113, 1.12279e-05, 1.58786e-05, -131.219, 
2019 Aug 19 (Mon) 22:00, 183.216, 259.107, -24.1484, 236.493, 334.445, -142.336, 183.598, 259.64, 95.8013, 53.3188, 75.4041, -136.353, 
2019 Aug 19 (Mon) 22:30, 173.59, 245.493, -24.1213, 227.311, 321.46, -142.049, 173.959, 246.008, 95.8294, 53.8513, 76.1573, -135.598, 
2019 Aug 19 (Mon) 23:00, 186.442, 263.669, -22.1907, 131.944, 186.584, -146.615, 159.2, 225.133, 96.3097, 47.4761, 67.1413, 18.6877, 
2019 Aug 19 (Mon) 23:30, 174.49, 246.767, -23.3082, 147.273, 208.263, -145.488, 173.983, 246.041, 96.6479, 27.6634, 39.122, 47.2931, 
2019 Aug 20 (Tue) 0:00, 156.173, 220.862, -18.6676, 239.417, 338.576, -137.765, 156.71, 221.607, 101.155, 82.5999, 116.814, -136.2, 
