Time, 10_EV, 11_EV, 12_EV, 13_EV, 14_EV, 15_EV, 16_EV, 18_EV, 19_EV, 1_EV, 21_EV, 23_EV, 24_EV, 25_EV, 26_EV, 27_EV, 28_EV, 2_EV, 30_EV, 31_EV, 32_EV, 34_EV, 35_EV, 37_EV, 38_EV, 39_EV, 40_EV, 41_EV, 42_EV, 43_EV, 45_EV, 46_EV, 47_EV, 48_EV, 49_EV, 4_EV, 50_EV, 51_EV, 52_EV, 53_EV, 54_EV, 56_EV, 57_EV, 60_EV, 61_EV, 62_EV, 63_EV, 64_EV, 65_EV, 66_EV, 6_EV, 7_EV, 8_EV, 9_EV, 
2019 Aug 19 (Mon) 11:00, 100, 99.5249, 100, 100, 100, 98.2676, 100, 100, 100, 98.8205, 100, 100, 100, 100, 100, 100, 100, 100, 99.5033, 100, 100, 100, 100, 100, 100, 98.4332, 100, 100, 98.8866, 100, 100, 100, 100, 99.8788, 100, 100, 100, 98.8259, 100, 100, 100, 100, 100, 100, 99.0675, 100, 100, 100, 99.2553, 100, 99.4458, 98.2922, 100, 100, 
2019 Aug 19 (Mon) 11:30, 100, 99.5249, 100, 100, 100, 98.2676, 100, 100, 100, 98.8205, 100, 100, 100, 100, 100, 100, 100, 100, 99.5033, 100, 100, 100, 100, 100, 100, 98.4332, 100, 100, 98.8866, 100, 100, 100, 100, 99.8788, 100, 100, 100, 98.8259, 100, 100, 100, 100, 100, 100, 99.0675, 100, 100, 100, 99.2553, 100, 99.4458, 98.2922, 100, 100, 
2019 Aug 19 (Mon) 12:00, 100, 99.5249, 100, 100, 100, 98.2676, 100, 100, 100, 98.8205, 100, 100, 100, 100, 100, 100, 100, 100, 99.5033, 100, 100, 100, 100, 100, 100, 98.4332, 100, 100, 98.8866, 100, 100, 100, 100, 99.8788, 100, 100, 100, 98.8259, 100, 100, 100, 100, 100, 100, 99.0675, 100, 100, 100, 99.2553, 100, 99.4458, 98.2922, 100, 100, 
2019 Aug 19 (Mon) 12:30, 100, 99.5249, 100, 100, 100, 98.2676, 100, 100, 100, 98.8205, 100, 100, 100, 100, 100, 100, 100, 100, 99.5033, 100, 100, 100, 100, 100, 100, 98.4332, 100, 100, 98.8866, 100, 100, 100, 100, 99.8788, 100, 100, 100, 98.8259, 100, 100, 100, 100, 100, 100, 99.0675, 100, 100, 100, 99.2553, 100, 99.4458, 98.2922, 100, 100, 
2019 Aug 19 (Mon) 13:00, 100, 99.5249, 100, 100, 100, 98.2676, 100, 100, 100, 98.8205, 100, 100, 100, 100, 100, 100, 100, 100, 99.5033, 100, 100, 100, 100, 100, 100, 98.4332, 100, 100, 98.8866, 100, 100, 100, 100, 99.8788, 100, 100, 100, 98.8259, 100, 100, 100, 100, 100, 100, 99.0675, 100, 100, 100, 99.2553, 100, 99.4458, 98.2922, 100, 100, 
2019 Aug 19 (Mon) 13:30, 100, 99.5249, 100, 100, 100, 98.2676, 100, 100, 100, 98.8205, 100, 100, 100, 100, 100, 100, 100, 100, 99.5033, 100, 100, 100, 100, 100, 100, 98.4332, 100, 100, 98.8866, 100, 100, 100, 100, 99.8788, 100, 100, 100, 98.8259, 100, 100, 100, 100, 100, 100, 99.0675, 100, 100, 100, 99.2553, 100, 99.4458, 98.2922, 100, 100, 
2019 Aug 19 (Mon) 14:00, 100, 99.5249, 100, 100, 100, 98.2676, 100, 100, 100, 98.8205, 100, 100, 100, 100, 100, 100, 100, 100, 99.5033, 100, 100, 100, 100, 100, 100, 98.4332, 100, 100, 98.8866, 100, 100, 100, 100, 99.8788, 100, 100, 100, 98.8259, 100, 100, 100, 100, 100, 100, 99.0675, 100, 100, 100, 99.2553, 100, 99.4458, 98.2922, 100, 100, 
2019 Aug 19 (Mon) 14:30, 100, 99.5249, 100, 100, 100, 98.2676, 100, 100, 100, 98.8205, 100, 100, 100, 100, 100, 100, 100, 100, 99.5033, 100, 100, 100, 100, 100, 100, 98.4332, 100, 100, 98.8866, 100, 100, 100, 100, 99.8788, 100, 100, 100, 98.8259, 100, 100, 100, 100, 100, 100, 99.0675, 100, 100, 100, 99.2553, 100, 99.4458, 98.2922, 100, 100, 
2019 Aug 19 (Mon) 15:00, 100, 99.5249, 100, 100, 100, 98.2676, 100, 100, 100, 98.8205, 100, 100, 100, 100, 100, 100, 100, 100, 99.5033, 100, 100, 100, 100, 100, 100, 98.4332, 100, 100, 98.8866, 100, 100, 100, 100, 99.8788, 100, 100, 100, 98.8259, 100, 100, 100, 100, 100, 100, 99.0675, 100, 100, 100, 99.2553, 100, 99.4458, 98.2922, 100, 100, 
2019 Aug 19 (Mon) 15:30, 100, 99.5249, 100, 100, 100, 98.2676, 100, 100, 100, 98.8205, 100, 100, 100, 100, 100, 100, 100, 100, 99.5033, 100, 100, 100, 100, 100, 100, 98.4332, 100, 100, 98.8866, 100, 100, 100, 100, 99.8788, 100, 100, 100, 98.8259, 100, 100, 100, 100, 100, 100, 99.0675, 100, 100, 100, 99.2553, 100, 99.4458, 98.2922, 100, 100, 
2019 Aug 19 (Mon) 16:00, 100, 99.5249, 100, 100, 100, 98.2676, 100, 100, 100, 98.8205, 100, 100, 100, 100, 100, 100, 100, 100, 99.5033, 100, 100, 100, 100, 100, 100, 98.4332, 100, 100, 98.8866, 100, 100, 100, 100, 99.8788, 100, 100, 100, 98.8259, 100, 100, 100, 100, 100, 100, 99.0675, 100, 100, 100, 99.2553, 100, 99.4458, 98.2922, 100, 100, 
2019 Aug 19 (Mon) 16:30, 100, 99.5249, 100, 100, 100, 98.2676, 100, 100, 100, 98.8205, 100, 100, 100, 100, 100, 100, 100, 100, 99.5033, 100, 100, 100, 100, 100, 100, 98.4332, 100, 100, 98.8866, 100, 100, 100, 100, 99.8788, 100, 100, 100, 98.8259, 100, 100, 100, 100, 100, 100, 99.0675, 100, 100, 100, 99.2553, 100, 99.4458, 98.2922, 100, 100, 
2019 Aug 19 (Mon) 17:00, 100, 99.5249, 100, 100, 100, 98.2676, 100, 100, 100, 98.8205, 100, 100, 100, 100, 100, 100, 100, 100, 99.5033, 100, 100, 100, 100, 100, 100, 98.4332, 100, 100, 98.8866, 100, 100, 100, 100, 99.8788, 100, 100, 100, 98.8259, 100, 100, 100, 100, 100, 100, 99.0675, 100, 100, 100, 99.2553, 100, 99.4458, 98.2922, 100, 100, 
2019 Aug 19 (Mon) 17:30, 100, 99.5249, 100, 100, 100, 98.2676, 100, 100, 100, 98.8205, 100, 100, 100, 100, 100, 100, 100, 100, 99.5033, 100, 100, 100, 100, 100, 100, 98.4332, 100, 100, 98.8866, 100, 100, 100, 100, 99.8788, 100, 100, 100, 98.8259, 100, 100, 100, 100, 100, 100, 99.0675, 100, 100, 100, 99.2553, 100, 99.4458, 98.2922, 100, 100, 
2019 Aug 19 (Mon) 18:00, 100, 99.5249, 100, 100, 100, 98.2676, 100, 100, 100, 98.8205, 100, 100, 100, 100, 100, 100, 100, 100, 99.5033, 100, 100, 100, 100, 100, 100, 98.4332, 100, 100, 98.8866, 100, 100, 100, 100, 99.8788, 100, 100, 100, 98.8259, 100, 100, 100, 100, 100, 100, 99.0675, 100, 100, 100, 99.2553, 100, 99.4458, 98.2922, 100, 100, 
2019 Aug 19 (Mon) 18:30, 92.0513, 91.5762, 92.0513, 92.0513, 92.0513, 90.3188, 92.0513, 92.0513, 92.0513, 90.8718, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 91.5546, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 90.4845, 92.0513, 92.0513, 90.9379, 92.0513, 92.0513, 92.0513, 92.0513, 91.9301, 92.0513, 92.0513, 92.0513, 90.8772, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 91.1188, 92.0513, 92.0513, 92.0513, 91.3066, 92.0513, 91.497, 90.3435, 92.0513, 92.0513, 
2019 Aug 19 (Mon) 19:00, 92.0513, 91.5762, 92.0513, 92.0513, 92.0513, 90.3188, 92.0513, 92.0513, 92.0513, 90.8718, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 91.5546, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 90.4845, 92.0513, 92.0513, 90.9379, 92.0513, 92.0513, 92.0513, 92.0513, 91.9301, 92.0513, 92.0513, 97.7543, 90.8772, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 91.1188, 92.0513, 92.0513, 92.0513, 91.3066, 92.0513, 91.497, 90.3435, 92.0513, 92.0513, 
2019 Aug 19 (Mon) 19:30, 92.0513, 91.5762, 92.0513, 92.0513, 92.0513, 90.3188, 92.0513, 92.0513, 92.0513, 90.8718, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 91.5546, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 90.4845, 92.0513, 92.0513, 90.9379, 92.0513, 92.0513, 92.0513, 92.0513, 91.9301, 92.0513, 92.0513, 100, 90.8772, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 91.1188, 92.0513, 92.0513, 92.0513, 91.3066, 92.0513, 91.497, 90.3435, 92.0513, 92.0513, 
2019 Aug 19 (Mon) 20:00, 92.0513, 91.5762, 92.0513, 92.0513, 92.0513, 90.3188, 92.0513, 92.0513, 92.0513, 90.8718, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 91.5546, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 90.4845, 92.0513, 92.0513, 90.9379, 92.0513, 92.0513, 92.0513, 92.0513, 91.9301, 92.0513, 92.0513, 100, 90.8772, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 91.1188, 92.0513, 92.0513, 92.0513, 91.3066, 92.0513, 91.497, 90.3435, 92.0513, 92.0513, 
2019 Aug 19 (Mon) 20:30, 92.0513, 91.5762, 92.0513, 92.0513, 92.0513, 90.3188, 92.0513, 92.0513, 92.0513, 90.8718, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 91.5546, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 90.4845, 92.0513, 92.0513, 90.9379, 92.0513, 92.0513, 92.0513, 92.0513, 91.9301, 92.0513, 92.0513, 100, 96.5975, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 91.1188, 92.0513, 92.0513, 92.0513, 91.3066, 92.0513, 91.497, 90.3435, 92.0513, 92.0513, 
2019 Aug 19 (Mon) 21:00, 92.0513, 91.5762, 92.0513, 97.7543, 92.0513, 96.0459, 92.0513, 92.0513, 92.0513, 96.5921, 92.0513, 97.7543, 92.0513, 92.0513, 97.7543, 92.0513, 92.0513, 97.7543, 91.5546, 97.7543, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 90.4845, 92.0513, 92.0513, 90.9379, 92.0513, 92.0513, 92.0513, 92.0513, 91.9301, 92.0513, 92.0513, 100, 100, 92.0513, 97.7543, 92.0513, 92.0513, 92.0513, 92.0513, 91.1188, 92.0513, 92.0513, 92.0513, 97.0198, 92.0513, 91.497, 90.3435, 92.0513, 92.0513, 
2019 Aug 19 (Mon) 21:30, 92.0513, 91.5762, 92.0513, 100, 92.0513, 100, 92.0513, 92.0513, 92.0513, 100, 92.0513, 100, 92.0513, 92.0513, 100, 92.0513, 92.0513, 100, 91.5546, 100, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 90.4845, 92.0513, 92.0513, 90.9379, 92.0513, 92.0513, 92.0513, 92.0513, 91.9301, 92.0513, 92.0513, 100, 100, 92.0513, 100, 92.0513, 92.0513, 92.0513, 92.0513, 91.1188, 92.0513, 92.0513, 92.0513, 100, 92.0513, 91.497, 90.3435, 92.0513, 92.0513, 
2019 Aug 19 (Mon) 22:00, 92.0513, 91.5762, 92.0513, 100, 92.0513, 100, 92.0513, 92.0513, 92.0513, 100, 92.0513, 100, 92.0513, 92.0513, 100, 92.0513, 92.0513, 100, 91.5546, 100, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 90.4845, 92.0513, 92.0513, 90.9379, 92.0513, 92.0513, 92.0513, 92.0513, 91.9301, 92.0513, 92.0513, 100, 100, 92.0513, 100, 92.0513, 92.0513, 92.0513, 92.0513, 91.1188, 92.0513, 92.0513, 92.0513, 100, 92.0513, 91.497, 90.3435, 92.0513, 92.0513, 
2019 Aug 19 (Mon) 22:30, 97.7543, 91.5762, 92.0513, 100, 92.0513, 100, 92.0513, 92.0513, 92.0513, 100, 92.0513, 100, 92.0513, 97.7543, 100, 92.0513, 92.0513, 100, 91.5546, 100, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 90.4845, 92.0513, 92.0513, 90.9379, 92.0513, 92.0513, 92.0513, 92.0513, 91.9301, 97.7543, 92.0513, 100, 100, 92.0513, 100, 92.0513, 92.0513, 92.0513, 97.7543, 91.1188, 92.0513, 92.0513, 92.0513, 100, 97.7543, 91.497, 90.3435, 92.0513, 92.0513, 
2019 Aug 19 (Mon) 23:00, 100, 91.5762, 92.0513, 100, 92.0513, 100, 92.0513, 92.0513, 92.0513, 100, 92.0513, 100, 92.0513, 100, 100, 92.0513, 92.0513, 100, 91.5546, 100, 92.0513, 92.0513, 92.0513, 92.0513, 92.0513, 90.4845, 92.0513, 92.0513, 90.9379, 92.0513, 92.0513, 92.0513, 92.0513, 91.9301, 100, 92.0513, 100, 100, 92.0513, 100, 92.0513, 92.0513, 92.0513, 100, 91.1188, 92.0513, 92.0513, 92.0513, 100, 100, 91.497, 90.3435, 92.0513, 92.0513, 
2019 Aug 19 (Mon) 23:30, 100, 91.5762, 97.7543, 100, 92.0513, 100, 92.0513, 92.0513, 92.0513, 100, 92.0513, 100, 92.0513, 100, 100, 92.0513, 92.0513, 100, 91.5546, 100, 92.0513, 97.7543, 92.0513, 92.0513, 92.0513, 90.4845, 92.0513, 92.0513, 90.9379, 92.0513, 92.0513, 92.0513, 92.0513, 91.9301, 100, 92.0513, 100, 100, 92.0513, 100, 92.0513, 92.0513, 92.0513, 100, 91.1188, 97.7543, 92.0513, 92.0513, 100, 100, 91.497, 90.3435, 92.0513, 92.0513, 
2019 Aug 20 (Tue) 0:00, 100, 91.5762, 100, 100, 92.0513, 100, 92.0513, 92.0513, 92.0513, 100, 92.0513, 100, 92.0513, 100, 100, 92.0513, 92.0513, 100, 91.5546, 100, 97.7543, 100, 92.0513, 92.0513, 92.0513, 90.4845, 92.0513, 92.0513, 90.9379, 92.0513, 92.0513, 92.0513, 92.0513, 91.9301, 100, 92.0513, 100, 100, 92.0513, 100, 92.0513, 92.0513, 92.0513, 100, 91.1188, 100, 92.0513, 92.0513, 100, 100, 91.497, 96.0705, 92.0513, 92.0513, 
