Time, I_PhaseA_RMS, I_PhaseA_Mag, I_PhaseA_Pha, I_PhaseB_RMS, I_PhaseB_Mag, I_PhaseB_Pha, I_PhaseC_RMS, I_PhaseC_Mag, I_PhaseC_Pha, I_Neutral_RMS, I_Neutral_Mag, I_Neutral_Pha
2019 Aug 19 (Mon) 13:00, 100.794, 142.544, -15.9526, 100.808, 142.538, -135.95, 100.812, 142.547, 104.051, 1.46975e-05, 2.07854e-05, -81.6323, 
2019 Aug 19 (Mon) 13:30, 97.4412, 137.803, -18.3448, 97.4551, 137.795, -138.342, 97.4602, 137.805, 101.66, 1.46654e-05, 2.07401e-05, -81.118, 
2019 Aug 19 (Mon) 14:00, 103.728, 146.693, -26.1275, 103.735, 146.681, -146.124, 103.743, 146.695, 93.8787, 1.43042e-05, 2.02291e-05, -80.6541, 
2019 Aug 19 (Mon) 14:30, 105.224, 148.809, -29.5246, 105.227, 148.795, -149.521, 105.236, 148.81, 90.482, 1.41732e-05, 2.00439e-05, -80.2875, 
2019 Aug 19 (Mon) 15:00, 101.553, 143.618, -17.0975, 101.567, 143.611, -137.094, 101.571, 143.621, 102.907, 1.46446e-05, 2.07106e-05, -81.5725, 
2019 Aug 19 (Mon) 15:30, 111.324, 157.436, -21.7406, 111.333, 157.425, -141.737, 111.34, 157.439, 98.2646, 1.43198e-05, 2.02512e-05, -81.7789, 
2019 Aug 19 (Mon) 16:00, 115.18, 162.888, -17.6168, 115.19, 162.88, -137.614, 115.196, 162.892, 102.387, 1.4416e-05, 2.03873e-05, -82.596, 
2019 Aug 19 (Mon) 16:30, 127.198, 179.885, -23.6265, 127.201, 179.873, -143.623, 127.211, 179.888, 96.3786, 1.39807e-05, 1.97717e-05, -82.6946, 
2019 Aug 19 (Mon) 17:00, 138.574, 195.974, -22.2668, 138.577, 195.961, -142.264, 138.586, 195.977, 97.7379, 1.38496e-05, 1.95862e-05, -83.7659, 
2019 Aug 19 (Mon) 17:30, 157.72, 223.05, -27.2596, 157.716, 223.036, -147.257, 157.727, 223.052, 92.7448, 1.33013e-05, 1.88109e-05, -84.2762, 
2019 Aug 19 (Mon) 18:00, 173.708, 245.66, -28.6113, 173.702, 245.647, -148.609, 173.712, 245.661, 91.3924, 1.29606e-05, 1.8329e-05, -85.1315, 
2019 Aug 19 (Mon) 18:30, 210.218, 297.293, -26.6882, 184.424, 260.811, -148.535, 184.406, 260.786, 91.503, 26.4529, 37.41, -13.8663, 
2019 Aug 19 (Mon) 19:00, 213.611, 302.091, -28.197, 188.292, 266.282, -150.2, 188.274, 266.256, 89.8378, 26.1583, 36.9934, -13.7956, 
2019 Aug 19 (Mon) 19:30, 182.149, 257.597, -23.7043, 182.145, 257.584, -143.702, 182.156, 257.6, 96.2994, 1.30819e-05, 1.85005e-05, -86.8713, 
2019 Aug 19 (Mon) 20:00, 173.366, 245.177, -20.6725, 253.789, 358.903, -139.594, 173.601, 245.498, 99.0781, 79.759, 112.796, -137.106, 
2019 Aug 19 (Mon) 20:30, 212.672, 300.763, -29.5299, 262.443, 371.149, -147.18, 213.249, 301.577, 90.46, 50.2915, 71.1229, -137.732, 
2019 Aug 19 (Mon) 21:00, 203.103, 287.231, -25.1792, 177.666, 251.252, -146.719, 203.414, 287.666, 95.0556, 25.5269, 36.1005, 47.164, 
2019 Aug 19 (Mon) 21:30, 170.915, 241.71, -26.9927, 170.91, 241.696, -146.99, 170.92, 241.712, 93.0113, 1.30887e-05, 1.85103e-05, -85.2943, 
2019 Aug 19 (Mon) 22:00, 183.173, 259.046, -24.2208, 156.233, 220.938, -146.371, 156.216, 220.914, 93.6682, 27.5856, 39.012, -12.0902, 
2019 Aug 19 (Mon) 22:30, 173.567, 245.461, -24.184, 173.647, 245.566, -144.199, 146.467, 207.126, 93.3834, 27.9191, 39.4836, -71.4996, 
2019 Aug 19 (Mon) 23:00, 132.063, 186.765, -26.6396, 186.786, 264.146, -141.98, 186.063, 263.124, 97.7365, 55.0816, 77.8971, 169.429, 
2019 Aug 19 (Mon) 23:30, 201.845, 285.451, -22.0705, 147.409, 208.457, -145.418, 174.022, 246.095, 96.7012, 47.3044, 66.8985, 16.3569, 
2019 Aug 20 (Tue) 0:00, 238.288, 336.991, -17.8621, 99.4674, 140.643, -144.445, 99.1563, 140.206, 96.0695, 139.219, 196.885, -13.4295, 
