Time, z_01, z_04, z_12, z_23, z_30, z_31, z_32, z_33, z_34, z_35, z_45, z_56, z_60, 
2019 Aug 19 (Mon) 6:00, 3.22857e-05, 3.01468e-05, 3.95454e-05, 4.40499e-05, 4.78725e-05, 5.12421e-05, 5.29421e-05, 2.79566e-05, 3.04266e-05, 3.26304e-05, 3.34508e-05, 3.68034e-05, 3.51136e-05, 
2019 Aug 19 (Mon) 6:30, 5.89043e-05, 5.57617e-05, 6.95121e-05, 7.68142e-05, 8.62173e-05, 8.86215e-05, 8.91726e-05, 5.52127e-05, 5.88899e-05, 5.88316e-05, 6.37074e-05, 6.68819e-05, 6.79526e-05, 
2019 Aug 19 (Mon) 7:00, 5.52554e-05, 5.42693e-05, 6.83827e-05, 7.65689e-05, 8.29292e-05, 8.64993e-05, 8.70872e-05, 5.19879e-05, 5.59882e-05, 5.62559e-05, 6.05519e-05, 6.37563e-05, 6.48493e-05, 
2019 Aug 19 (Mon) 7:30, 5.71711e-05, 5.54054e-05, 7.04804e-05, 7.75573e-05, 8.36929e-05, 8.87387e-05, 8.98656e-05, 5.49078e-05, 5.66659e-05, 5.91995e-05, 6.16898e-05, 6.75546e-05, 6.86661e-05, 
2019 Aug 19 (Mon) 8:00, 5.6865e-05, 5.41544e-05, 6.80177e-05, 7.80256e-05, 8.24345e-05, 8.83634e-05, 8.72174e-05, 5.10391e-05, 5.72457e-05, 5.57764e-05, 5.90366e-05, 6.55407e-05, 6.72286e-05, 
2019 Aug 19 (Mon) 8:30, 5.671e-05, 5.74704e-05, 7.0231e-05, 7.87949e-05, 8.43024e-05, 8.84852e-05, 8.87867e-05, 5.30617e-05, 5.80888e-05, 5.91643e-05, 6.37766e-05, 6.93166e-05, 7.00929e-05, 
2019 Aug 19 (Mon) 9:00, 5.80461e-05, 5.59905e-05, 6.88547e-05, 7.90541e-05, 8.39507e-05, 8.70298e-05, 8.98343e-05, 5.36222e-05, 5.77637e-05, 6.06258e-05, 6.27917e-05, 6.71843e-05, 6.9468e-05, 
2019 Aug 19 (Mon) 9:30, 5.13937e-05, 4.92428e-05, 6.45983e-05, 7.306e-05, 7.97819e-05, 8.14894e-05, 8.43364e-05, 4.79114e-05, 5.20478e-05, 5.2018e-05, 5.59013e-05, 6.06077e-05, 5.99471e-05, 
2019 Aug 19 (Mon) 10:00, 4.1033e-05, 3.87235e-05, 5.18236e-05, 5.77765e-05, 6.28401e-05, 6.70764e-05, 6.61405e-05, 3.66916e-05, 4.06801e-05, 4.26606e-05, 4.22024e-05, 4.6665e-05, 4.83656e-05, 
2019 Aug 19 (Mon) 10:30, 2.92465e-05, 2.91152e-05, 3.85292e-05, 4.33446e-05, 4.83217e-05, 4.92817e-05, 5.15355e-05, 2.79288e-05, 3.13218e-05, 3.04336e-05, 3.21222e-05, 3.31177e-05, 3.56828e-05, 
2019 Aug 19 (Mon) 11:00, 4.41368e-05, 3.9182e-05, 5.40164e-05, 6.09551e-05, 6.53788e-05, 6.91727e-05, 7.02775e-05, 3.98611e-05, 4.27706e-05, 4.33585e-05, 4.43999e-05, 4.79373e-05, 4.8492e-05, 
2019 Aug 19 (Mon) 11:30, 4.19142e-05, 4.00933e-05, 5.18281e-05, 6.03681e-05, 6.39323e-05, 6.77671e-05, 7.06063e-05, 3.86842e-05, 4.19809e-05, 4.27795e-05, 4.70746e-05, 4.68717e-05, 5.04938e-05, 
2019 Aug 19 (Mon) 12:00, 4.45838e-05, 4.15101e-05, 5.53488e-05, 6.20939e-05, 6.87337e-05, 7.17462e-05, 7.19731e-05, 4.22118e-05, 4.57375e-05, 4.53722e-05, 4.81524e-05, 5.11309e-05, 5.13304e-05, 
2019 Aug 19 (Mon) 12:30, 5.29776e-05, 4.91623e-05, 6.27339e-05, 7.36381e-05, 7.90812e-05, 8.35129e-05, 8.40407e-05, 4.96952e-05, 5.34857e-05, 5.42368e-05, 5.52214e-05, 5.88432e-05, 6.25936e-05, 
